act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",NA
Act I,Scene I,King Henry Iv,"So shaken as we are, so wan with care,",1
Act I,Scene I,King Henry Iv,"Find we a time for frighted peace to pant,",2
Act I,Scene I,King Henry Iv,And breathe short-winded accents of new broils,3
Act I,Scene I,King Henry Iv,To be commenced in strands afar remote.,4
Act I,Scene I,King Henry Iv,No more the thirsty entrance of this soil,5
Act I,Scene I,King Henry Iv,Shall daub her lips with her own children's blood;,6
Act I,Scene I,King Henry Iv,"Nor more shall trenching war channel her fields,",7
Act I,Scene I,King Henry Iv,Nor bruise her flowerets with the armed hoofs,8
Act I,Scene I,King Henry Iv,"Of hostile paces: those opposed eyes,",9
Act I,Scene I,King Henry Iv,"Which, like the meteors of a troubled heaven,",10
Act I,Scene I,King Henry Iv,"All of one nature, of one substance bred,",11
Act I,Scene I,King Henry Iv,Did lately meet in the intestine shock,12
Act I,Scene I,King Henry Iv,And furious close of civil butchery,13
Act I,Scene I,King Henry Iv,"Shall now, in mutual well-beseeming ranks,",14
Act I,Scene I,King Henry Iv,March all one way and be no more opposed,15
Act I,Scene I,King Henry Iv,"Against acquaintance, kindred and allies:",16
Act I,Scene I,King Henry Iv,"The edge of war, like an ill-sheathed knife,",17
Act I,Scene I,King Henry Iv,"No more shall cut his master. Therefore, friends,",18
Act I,Scene I,King Henry Iv,"As far as to the sepulchre of Christ,",19
Act I,Scene I,King Henry Iv,"Whose soldier now, under whose blessed cross",20
Act I,Scene I,King Henry Iv,"We are impressed and engaged to fight,",21
Act I,Scene I,King Henry Iv,Forthwith a power of English shall we levy;,22
Act I,Scene I,King Henry Iv,Whose arms were moulded in their mothers' womb,23
Act I,Scene I,King Henry Iv,To chase these pagans in those holy fields,24
Act I,Scene I,King Henry Iv,Over whose acres walk'd those blessed feet,25
Act I,Scene I,King Henry Iv,Which fourteen hundred years ago were nail'd,26
Act I,Scene I,King Henry Iv,For our advantage on the bitter cross.,27
Act I,Scene I,King Henry Iv,"But this our purpose now is twelve month old,",28
Act I,Scene I,King Henry Iv,And bootless 'tis to tell you we will go:,29
Act I,Scene I,King Henry Iv,Therefore we meet not now. Then let me hear,30
Act I,Scene I,King Henry Iv,"Of you, my gentle cousin Westmoreland,",31
Act I,Scene I,King Henry Iv,What yesternight our council did decree,32
Act I,Scene I,King Henry Iv,In forwarding this dear expedience.,33
Act I,Scene I,Westmoreland,"My liege, this haste was hot in question,",34
Act I,Scene I,Westmoreland,And many limits of the charge set down,35
Act I,Scene I,Westmoreland,But yesternight: when all athwart there came,36
Act I,Scene I,Westmoreland,A post from Wales loaden with heavy news;,37
Act I,Scene I,Westmoreland,"Whose worst was, that the noble Mortimer,",38
Act I,Scene I,Westmoreland,Leading the men of Herefordshire to fight,39
Act I,Scene I,Westmoreland,"Against the irregular and wild Glendower,",40
Act I,Scene I,Westmoreland,"Was by the rude hands of that Welshman taken,",41
Act I,Scene I,Westmoreland,A thousand of his people butchered;,42
Act I,Scene I,Westmoreland,"Upon whose dead corpse there was such misuse,",43
Act I,Scene I,Westmoreland,"Such beastly shameless transformation,",44
