act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Flourish of trumpets: then hautboys. Enter KING  HENRY VI, GLOUCESTER, SALISBURY, WARWICK, and  CARDINAL, on the one side; QUEEN MARGARET, SUFFOLK, YORK, SOMERSET, and BUCKINGHAM, on the other",NA
Act I,Scene I,Suffolk,As by your high imperial majesty,1
Act I,Scene I,Suffolk,"I had in charge at my depart for France,",2
Act I,Scene I,Suffolk,"As procurator to your excellence,",3
Act I,Scene I,Suffolk,"To marry Princess Margaret for your grace,",4
Act I,Scene I,Suffolk,"So, in the famous ancient city, Tours,",5
Act I,Scene I,Suffolk,"In presence of the Kings of France and Sicil,",6
Act I,Scene I,Suffolk,"The Dukes of Orleans, Calaber, Bretagne and Alencon,",7
Act I,Scene I,Suffolk,"Seven earls, twelve barons and twenty reverend bishops,",8
Act I,Scene I,Suffolk,I have perform'd my task and was espoused:,9
Act I,Scene I,Suffolk,"And humbly now upon my bended knee,",10
Act I,Scene I,Suffolk,"In sight of England and her lordly peers,",11
Act I,Scene I,Suffolk,Deliver up my title in the queen,12
Act I,Scene I,Suffolk,"To your most gracious hands, that are the substance",13
Act I,Scene I,Suffolk,Of that great shadow I did represent;,14
Act I,Scene I,Suffolk,"The happiest gift that ever marquess gave,",15
Act I,Scene I,Suffolk,The fairest queen that ever king received.,16
Act I,Scene I,King Henry Vi,"Suffolk, arise. Welcome, Queen Margaret:",17
Act I,Scene I,King Henry Vi,I can express no kinder sign of love,18
Act I,Scene I,King Henry Vi,"Than this kind kiss. O Lord, that lends me life,",19
Act I,Scene I,King Henry Vi,Lend me a heart replete with thankfulness!,20
Act I,Scene I,King Henry Vi,For thou hast given me in this beauteous face,21
Act I,Scene I,King Henry Vi,"A world of earthly blessings to my soul,",22
Act I,Scene I,King Henry Vi,If sympathy of love unite our thoughts.,23
Act I,Scene I,Queen Margaret,"Great King of England and my gracious lord,",24
Act I,Scene I,Queen Margaret,"The mutual conference that my mind hath had,",25
Act I,Scene I,Queen Margaret,"By day, by night, waking and in my dreams,",26
Act I,Scene I,Queen Margaret,"In courtly company or at my beads,",27
Act I,Scene I,Queen Margaret,"With you, mine alder-liefest sovereign,",28
Act I,Scene I,Queen Margaret,Makes me the bolder to salute my king,29
Act I,Scene I,Queen Margaret,"With ruder terms, such as my wit affords",30
Act I,Scene I,Queen Margaret,And over-joy of heart doth minister.,31
Act I,Scene I,King Henry Vi,"Her sight did ravish; but her grace in speech,",32
Act I,Scene I,King Henry Vi,"Her words y-clad with wisdom's majesty,",33
Act I,Scene I,King Henry Vi,Makes me from wondering fall to weeping joys;,34
Act I,Scene I,King Henry Vi,Such is the fulness of my heart's content.,35
Act I,Scene I,King Henry Vi,"Lords, with one cheerful voice welcome my love.",36
Act I,Scene I,All,"[Kneeling]  Long live Queen Margaret, England's",37
