line,stanza,line_number
FROM off a hill whose concave womb reworded,1,1
"A plaintful story from a sistering vale,",1,2
"My spirits to attend this double voice accorded,",1,3
And down I laid to list the sad-tuned tale;,1,4
"Ere long espied a fickle maid full pale,",1,5
"Tearing of papers, breaking rings a-twain,",1,6
Storming her world with sorrow's wind and rain.,1,7
"Upon her head a platted hive of straw,",2,8
"Which fortified her visage from the sun,",2,9
Whereon the thought might think sometime it saw,2,10
The carcass of beauty spent and done:,2,11
"Time had not scythed all that youth begun,",2,12
"Nor youth all quit; but, spite of heaven's fell rage,",2,13
Some beauty peep'd through lattice of sear'd age.,2,14
"Oft did she heave her napkin to her eyne,",3,15
"Which on it had conceited characters,",3,16
Laundering the silken figures in the brine,3,17
"That season'd woe had pelleted in tears,",3,18
And often reading what contents it bears;,3,19
"As often shrieking undistinguish'd woe,",3,20
"In clamours of all size, both high and low.",3,21
"Sometimes her levell'd eyes their carriage ride,",4,22
As they did battery to the spheres intend;,4,23
Sometime diverted their poor balls are tied,4,24
To the orbed earth; sometimes they do extend,4,25
Their view right on; anon their gazes lend,4,26
"To every place at once, and, nowhere fix'd,",4,27
The mind and sight distractedly commix'd.,4,28
"Her hair, nor loose nor tied in formal plat,",5,29
Proclaim'd in her a careless hand of pride,5,30
"For some, untuck'd, descended her sheaved hat,",5,31
Hanging her pale and pined cheek beside;,5,32
"Some in her threaden fillet still did bide,",5,33
"And true to bondage would not break from thence,",5,34
Though slackly braided in loose negligence.,5,35
A thousand favours from a maund she drew,6,36
"Of amber, crystal, and of beaded jet,",6,37
"Which one by one she in a river threw,",6,38
Upon whose weeping margent she was set;,6,39
"Like usury, applying wet to wet,",6,40
Or monarch's hands that let not bounty fall,6,41
"Where want cries some, but where excess begs all.",6,42
"Of folded schedules had she many a one,",7,43
"Which she perused, sigh'd, tore, and gave the flood;",7,44
Crack'd many a ring of posied gold and bone,7,45
Bidding them find their sepulchres in mud;,7,46
"Found yet moe letters sadly penn'd in blood,",7,47
With sleided silk feat and affectedly,7,48
"Enswathed, and seal'd to curious secrecy.",7,49
"These often bathed she in her fluxive eyes,",8,50
"And often kiss'd, and often 'gan to tear:",8,51
"Cried 'O false blood, thou register of lies,",8,52
What unapproved witness dost thou bear!,8,53
Ink would have seem'd more black and damned here!',8,54
"This said, in top of rage the lines she rents,",8,55
Big discontent so breaking their contents.,8,56
A reverend man that grazed his cattle nigh--,9,57
"Sometime a blusterer, that the ruffle knew",9,58
"Of court, of city, and had let go by",9,59
"The swiftest hours, observed as they flew--",9,60
"Towards this afflicted fancy fastly drew,",9,61
"And, privileged by age, desires to know",9,62
In brief the grounds and motives of her woe.,9,63
"So slides he down upon his grained bat,",10,64
And comely-distant sits he by her side;,10,65
"When he again desires her, being sat,",10,66
Her grievance with his hearing to divide:,10,67
If that from him there may be aught applied,10,68
"Which may her suffering ecstasy assuage,",10,69
'Tis promised in the charity of age.,10,70
"'Father,' she says, 'though in me you behold",11,71
"The injury of many a blasting hour,",11,72
Let it not tell your judgment I am old;,11,73
"Not age, but sorrow, over me hath power:",11,74
"I might as yet have been a spreading flower,",11,75
"Fresh to myself, If I had self-applied",11,76
Love to myself and to no love beside.,11,77
"'But, woe is me! too early I attended",12,78
A youthful suit--it was to gain my grace--,12,79
"Of one by nature's outwards so commended,",12,80
That maidens' eyes stuck over all his face:,12,81
"Love lack'd a dwelling, and made him her place;",12,82
"And when in his fair parts she did abide,",12,83
She was new lodged and newly deified.,12,84
'His browny locks did hang in crooked curls;,13,85
And every light occasion of the wind,13,86
Upon his lips their silken parcels hurls.,13,87
"What's sweet to do, to do will aptly find:",13,88
"Each eye that saw him did enchant the mind,",13,89
For on his visage was in little drawn,13,90
What largeness thinks in Paradise was sawn.,13,91
'Small show of man was yet upon his chin;,14,92
His phoenix down began but to appear,14,93
Like unshorn velvet on that termless skin,14,94
Whose bare out-bragg'd the web it seem'd to wear:,14,95
Yet show'd his visage by that cost more dear;,14,96
And nice affections wavering stood in doubt,14,97
"If best were as it was, or best without.",14,98
"'His qualities were beauteous as his form,",15,99
"For maiden-tongued he was, and thereof free;",15,100
"Yet, if men moved him, was he such a storm",15,101
"As oft 'twixt May and April is to see,",15,102
"When winds breathe sweet, untidy though they be.",15,103
His rudeness so with his authorized youth,15,104
Did livery falseness in a pride of truth.,15,105
"'Well could he ride, and often men would say",16,106
'That horse his mettle from his rider takes:,16,107
"Proud of subjection, noble by the sway,",16,108
"What rounds, what bounds, what course, what stop",16,109
he makes!',16,110
"And controversy hence a question takes,",16,111
"Whether the horse by him became his deed,",16,112
Or he his manage by the well-doing steed.,16,113
'But quickly on this side the verdict went:,17,114
His real habitude gave life and grace,17,115
"To appertainings and to ornament,",17,116
"Accomplish'd in himself, not in his case:",17,117
"All aids, themselves made fairer by their place,",17,118
Came for additions; yet their purposed trim,17,119
"Pieced not his grace, but were all graced by him.",17,120
'So on the tip of his subduing tongue,18,121
"All kinds of arguments and question deep,",18,122
"All replication prompt, and reason strong,",18,123
For his advantage still did wake and sleep:,18,124
"To make the weeper laugh, the laugher weep,",18,125
"He had the dialect and different skill,",18,126
Catching all passions in his craft of will:,18,127
'That he did in the general bosom reign,19,128
"Of young, of old; and sexes both enchanted,",19,129
"To dwell with him in thoughts, or to remain",19,130
"In personal duty, following where he haunted:",19,131
"Consents bewitch'd, ere he desire, have granted;",19,132
"And dialogued for him what he would say,",19,133
"Ask'd their own wills, and made their wills obey.",19,134
"'Many there were that did his picture get,",20,135
"To serve their eyes, and in it put their mind;",20,136
Like fools that in th' imagination set,20,137
The goodly objects which abroad they find,20,138
"Of lands and mansions, theirs in thought assign'd;",20,139
And labouring in moe pleasures to bestow them,20,140
Than the true gouty landlord which doth owe them:,20,141
"'So many have, that never touch'd his hand,",21,142
Sweetly supposed them mistress of his heart.,21,143
"My woeful self, that did in freedom stand,",21,144
"And was my own fee-simple, not in part,",21,145
"What with his art in youth, and youth in art,",21,146
"Threw my affections in his charmed power,",21,147
Reserved the stalk and gave him all my flower.,21,148
"'Yet did I not, as some my equals did,",22,149
"Demand of him, nor being desired yielded;",22,150
"Finding myself in honour so forbid,",22,151
With safest distance I mine honour shielded:,22,152
Experience for me many bulwarks builded,22,153
"Of proofs new-bleeding, which remain'd the foil",22,154
"Of this false jewel, and his amorous spoil.",22,155
"'But, ah, who ever shunn'd by precedent",23,156
The destined ill she must herself assay?,23,157
"Or forced examples, 'gainst her own content,",23,158
To put the by-past perils in her way?,23,159
Counsel may stop awhile what will not stay;,23,160
"For when we rage, advice is often seen",23,161
By blunting us to make our wits more keen.,23,162
"'Nor gives it satisfaction to our blood,",24,163
That we must curb it upon others' proof;,24,164
"To be forbod the sweets that seem so good,",24,165
For fear of harms that preach in our behoof.,24,166
"O appetite, from judgment stand aloof!",24,167
"The one a palate hath that needs will taste,",24,168
"Though Reason weep, and cry, 'It is thy last.'",24,169
"'For further I could say 'This man's untrue,'",25,170
And knew the patterns of his foul beguiling;,25,171
