line,stanza,line_number
'Vilia miretur vulgus; mihi flavus Apollo,1,1
Pocula Castalia plena ministret aqua.',1,2
TO THE,2,3
"RIGHT HONORABLE HENRY WRIOTHESLY,",2,4
"EARL OF SOUTHAMPTON, AND BARON OF TICHFIELD.",2,5
"RIGHT HONORABLE,",2,6
EVEN as the sun with purple-colour'd face,3,7
"Had ta'en his last leave of the weeping morn,",3,8
Rose-cheek'd Adonis hied him to the chase;,3,9
"Hunting he loved, but love he laugh'd to scorn;",3,10
"Sick-thoughted Venus makes amain unto him,",3,11
And like a bold-faced suitor 'gins to woo him.,3,12
"'Thrice-fairer than myself,' thus she began,",4,13
"'The field's chief flower, sweet above compare,",4,14
"Stain to all nymphs, more lovely than a man,",4,15
More white and red than doves or roses are;,4,16
"Nature that made thee, with herself at strife,",4,17
Saith that the world hath ending with thy life.,4,18
"'Vouchsafe, thou wonder, to alight thy steed,",5,19
And rein his proud head to the saddle-bow;,5,20
"If thou wilt deign this favour, for thy meed",5,21
A thousand honey secrets shalt thou know:,5,22
"Here come and sit, where never serpent hisses,",5,23
"And being set, I'll smother thee with kisses;",5,24
"'And yet not cloy thy lips with loathed satiety,",6,25
"But rather famish them amid their plenty,",6,26
"Making them red and pale with fresh variety,",6,27
"Ten kisses short as one, one long as twenty:",6,28
"A summer's day will seem an hour but short,",6,29
Being wasted in such time-beguiling sport.',6,30
"With this she seizeth on his sweating palm,",7,31
"The precedent of pith and livelihood,",7,32
"And trembling in her passion, calls it balm,",7,33
Earth's sovereign salve to do a goddess good:,7,34
"Being so enraged, desire doth lend her force",7,35
Courageously to pluck him from his horse.,7,36
"Over one arm the lusty courser's rein,",8,37
"Under her other was the tender boy,",8,38
"Who blush'd and pouted in a dull disdain,",8,39
"With leaden appetite, unapt to toy;",8,40
"She red and hot as coals of glowing fire,",8,41
"He red for shame, but frosty in desire.",8,42
The studded bridle on a ragged bough,9,43
"Nimbly she fastens:--O, how quick is love!--",9,44
"The steed is stalled up, and even now",9,45
To tie the rider she begins to prove:,9,46
"Backward she push'd him, as she would be thrust,",9,47
"And govern'd him in strength, though not in lust.",9,48
"So soon was she along as he was down,",10,49
Each leaning on their elbows and their hips:,10,50
"Now doth she stroke his cheek, now doth he frown,",10,51
"And 'gins to chide, but soon she stops his lips;",10,52
"And kissing speaks, with lustful language broken,",10,53
"'If thou wilt chide, thy lips shall never open.'",10,54
He burns with bashful shame: she with her tears,11,55
Doth quench the maiden burning of his cheeks;,11,56
Then with her windy sighs and golden hairs,11,57
To fan and blow them dry again she seeks:,11,58
"He saith she is immodest, blames her 'miss;",11,59
What follows more she murders with a kiss.,11,60
"Even as an empty eagle, sharp by fast,",12,61
"Tires with her beak on feathers, flesh and bone,",12,62
"Shaking her wings, devouring all in haste,",12,63
Till either gorge be stuff'd or prey be gone;,12,64
"Even so she kissed his brow, his cheek, his chin,",12,65
And where she ends she doth anew begin.,12,66
"Forced to content, but never to obey,",13,67
Panting he lies and breatheth in her face;,13,68
"She feedeth on the steam as on a prey,",13,69
"And calls it heavenly moisture, air of grace;",13,70
"Wishing her cheeks were gardens full of flowers,",13,71
So they were dew'd with such distilling showers.,13,72
"Look, how a bird lies tangled in a net,",14,73
So fasten'd in her arms Adonis lies;,14,74
"Pure shame and awed resistance made him fret,",14,75
Which bred more beauty in his angry eyes:,14,76
Rain added to a river that is rank,14,77
Perforce will force it overflow the bank.,14,78
"Still she entreats, and prettily entreats,",15,79
For to a pretty ear she tunes her tale;,15,80
"Still is he sullen, still he lours and frets,",15,81
'Twixt crimson shame and anger ashy-pale:,15,82
"Being red, she loves him best; and being white,",15,83
Her best is better'd with a more delight.,15,84
"Look how he can, she cannot choose but love;",16,85
"And by her fair immortal hand she swears,",16,86
"From his soft bosom never to remove,",16,87
"Till he take truce with her contending tears,",16,88
"Which long have rain'd, making her cheeks all wet;",16,89
And one sweet kiss shall pay this countless debt.,16,90
"Upon this promise did he raise his chin,",17,91
"Like a dive-dapper peering through a wave,",17,92
"Who, being look'd on, ducks as quickly in;",17,93
So offers he to give what she did crave;,17,94
"But when her lips were ready for his pay,",17,95
"He winks, and turns his lips another way.",17,96
Never did passenger in summer's heat,18,97
More thirst for drink than she for this good turn.,18,98
"Her help she sees, but help she cannot get;",18,99
"She bathes in water, yet her fire must burn:",18,100
"'O, pity,' 'gan she cry, 'flint-hearted boy!",18,101
'Tis but a kiss I beg; why art thou coy?,18,102
"'I have been woo'd, as I entreat thee now,",19,103
"Even by the stern and direful god of war,",19,104
"Whose sinewy neck in battle ne'er did bow,",19,105
Who conquers where he comes in every jar;,19,106
"Yet hath he been my captive and my slave,",19,107
And begg'd for that which thou unask'd shalt have.,19,108
"'Over my altars hath he hung his lance,",20,109
"His batter'd shield, his uncontrolled crest,",20,110
"And for my sake hath learn'd to sport and dance,",20,111
"To toy, to wanton, dally, smile and jest,",20,112
"Scorning his churlish drum and ensign red,",20,113
"Making my arms his field, his tent my bed.",20,114
"'Thus he that overruled I oversway'd,",21,115
Leading him prisoner in a red-rose chain:,21,116
"Strong-tempered steel his stronger strength obey'd,",21,117
Yet was he servile to my coy disdain.,21,118
"O, be not proud, nor brag not of thy might,",21,119
For mastering her that foil'd the god of fight!,21,120
"'Touch but my lips with those fair lips of thine,--",22,121
"Though mine be not so fair, yet are they red--",22,122
The kiss shall be thine own as well as mine.,22,123
What seest thou in the ground? hold up thy head:,22,124
"Look in mine eye-balls, there thy beauty lies;",22,125
"Then why not lips on lips, since eyes in eyes?",22,126
"'Art thou ashamed to kiss? then wink again,",22,127
And I will wink; so shall the day seem night;,22,128
Love keeps his revels where they are but twain;,22,129
"Be bold to play, our sport is not in sight:",22,130
These blue-vein'd violets whereon we lean,22,131
"Never can blab, nor know not what we mean.",22,132
'The tender spring upon thy tempting lip,23,133
Shows thee unripe; yet mayst thou well be tasted:,23,134
"Make use of time, let not advantage slip;",23,135
Beauty within itself should not be wasted:,23,136
Fair flowers that are not gather'd in their prime,23,137
Rot and consume themselves in little time.,23,138
"'Were I hard-favour'd, foul, or wrinkled-old,",24,139
"Ill-nurtured, crooked, churlish, harsh in voice,",24,140
"O'erworn, despised, rheumatic and cold,",24,141
"Thick-sighted, barren, lean and lacking juice,",24,142
"Then mightst thou pause, for then I were not for thee",24,143
"But having no defects, why dost abhor me?",24,144
'Thou canst not see one wrinkle in my brow;,25,145
Mine eyes are gray and bright and quick in turning:,25,146
"My beauty as the spring doth yearly grow,",25,147
"My flesh is soft and plump, my marrow burning;",25,148
"My smooth moist hand, were it with thy hand felt,",25,149
"Would in thy palm dissolve, or seem to melt.",25,150
"'Bid me discourse, I will enchant thine ear,",26,151
"Or, like a fairy, trip upon the green,",26,152
"Or, like a nymph, with long dishevell'd hair,",26,153
"Dance on the sands, and yet no footing seen:",26,154
"Love is a spirit all compact of fire,",26,155
"Not gross to sink, but light, and will aspire.",26,156
'Witness this primrose bank whereon I lie;,27,157
These forceless flowers like sturdy trees support me;,27,158
"Two strengthless doves will draw me through the sky,",27,159
"From morn till night, even where I list to sport me:",27,160
"Is love so light, sweet boy, and may it be",27,161
That thou shouldst think it heavy unto thee?,27,162
