act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter BERTRAM, the COUNTESS of Rousillon, HELENA, and LAFEU, all in black",NA
Act I,Scene I,Countess,"In delivering my son from me, I bury a second husband.",1
Act I,Scene I,Bertram,"And I in going, madam, weep o'er my father's death",2
Act I,Scene I,Bertram,"anew: but I must attend his majesty's command, to",3
Act I,Scene I,Bertram,"whom I am now in ward, evermore in subjection.",4
Act I,Scene I,Lafeu,"You shall find of the king a husband, madam; you,",5
Act I,Scene I,Lafeu,"sir, a father: he that so generally is at all times",6
Act I,Scene I,Lafeu,good must of necessity hold his virtue to you; whose,7
Act I,Scene I,Lafeu,worthiness would stir it up where it wanted rather,8
Act I,Scene I,Lafeu,than lack it where there is such abundance.,9
Act I,Scene I,Countess,What hope is there of his majesty's amendment?,10
Act I,Scene I,Lafeu,"He hath abandoned his physicians, madam; under whose",11
Act I,Scene I,Lafeu,"practises he hath persecuted time with hope, and",12
Act I,Scene I,Lafeu,finds no other advantage in the process but only the,13
Act I,Scene I,Lafeu,losing of hope by time.,14
Act I,Scene I,Countess,"This young gentlewoman had a father,--O, that",15
Act I,Scene I,Countess,'had'! how sad a passage 'tis!--whose skill was,16
Act I,Scene I,Countess,almost as great as his honesty; had it stretched so,17
Act I,Scene I,Countess,"far, would have made nature immortal, and death",18
Act I,Scene I,Countess,"should have play for lack of work. Would, for the",19
Act I,Scene I,Countess,"king's sake, he were living! I think it would be",20
Act I,Scene I,Countess,the death of the king's disease.,21
Act I,Scene I,Lafeu,"How called you the man you speak of, madam?",22
Act I,Scene I,Countess,"He was famous, sir, in his profession, and it was",23
Act I,Scene I,Countess,his great right to be so: Gerard de Narbon.,24
Act I,Scene I,Lafeu,"He was excellent indeed, madam: the king very",25
Act I,Scene I,Lafeu,lately spoke of him admiringly and mourningly: he,26
Act I,Scene I,Lafeu,"was skilful enough to have lived still, if knowledge",27
Act I,Scene I,Lafeu,could be set up against mortality.,28
Act I,Scene I,Bertram,"What is it, my good lord, the king languishes of?",29
Act I,Scene I,Lafeu,"A fistula, my lord.",30
Act I,Scene I,Bertram,I heard not of it before.,31
Act I,Scene I,Lafeu,I would it were not notorious. Was this gentlewoman,32
Act I,Scene I,Lafeu,the daughter of Gerard de Narbon?,33
Act I,Scene I,Countess,"His sole child, my lord, and bequeathed to my",34
Act I,Scene I,Countess,overlooking. I have those hopes of her good that,35
Act I,Scene I,Countess,her education promises; her dispositions she,36
Act I,Scene I,Countess,"inherits, which makes fair gifts fairer; for where",37
Act I,Scene I,Countess,"an unclean mind carries virtuous qualities, there",38
Act I,Scene I,Countess,commendations go with pity; they are virtues and,39
Act I,Scene I,Countess,traitors too; in her they are the better for their,40
Act I,Scene I,Countess,simpleness; she derives her honesty and achieves her goodness.,41
Act I,Scene I,Lafeu,"Your commendations, madam, get from her tears.",42
Act I,Scene I,Countess,'Tis the best brine a maiden can season her praise,43
