act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],Enter ORLANDO and ADAM,NA
Act I,Scene I,Orlando,"As I remember, Adam, it was upon this fashion",1
Act I,Scene I,Orlando,"bequeathed me by will but poor a thousand crowns,",2
Act I,Scene I,Orlando,"and, as thou sayest, charged my brother, on his",3
Act I,Scene I,Orlando,"blessing, to breed me well: and there begins my",4
Act I,Scene I,Orlando,"sadness. My brother Jaques he keeps at school, and",5
Act I,Scene I,Orlando,"report speaks goldenly of his profit: for my part,",6
Act I,Scene I,Orlando,"he keeps me rustically at home, or, to speak more",7
Act I,Scene I,Orlando,"properly, stays me here at home unkept; for call you",8
Act I,Scene I,Orlando,"that keeping for a gentleman of my birth, that",9
Act I,Scene I,Orlando,differs not from the stalling of an ox? His horses,10
Act I,Scene I,Orlando,"are bred better; for, besides that they are fair",11
Act I,Scene I,Orlando,"with their feeding, they are taught their manage,",12
Act I,Scene I,Orlando,"and to that end riders dearly hired: but I, his",13
Act I,Scene I,Orlando,"brother, gain nothing under him but growth; for the",14
Act I,Scene I,Orlando,which his animals on his dunghills are as much,15
Act I,Scene I,Orlando,bound to him as I. Besides this nothing that he so,16
Act I,Scene I,Orlando,"plentifully gives me, the something that nature gave",17
Act I,Scene I,Orlando,me his countenance seems to take from me: he lets,18
Act I,Scene I,Orlando,"me feed with his hinds, bars me the place of a",19
Act I,Scene I,Orlando,"brother, and, as much as in him lies, mines my",20
Act I,Scene I,Orlando,"gentility with my education. This is it, Adam, that",21
Act I,Scene I,Orlando,"grieves me; and the spirit of my father, which I",22
Act I,Scene I,Orlando,"think is within me, begins to mutiny against this",23
Act I,Scene I,Orlando,"servitude: I will no longer endure it, though yet I",24
Act I,Scene I,Orlando,know no wise remedy how to avoid it.,25
Act I,Scene I,Adam,"Yonder comes my master, your brother.",26
Act I,Scene I,Orlando,"Go apart, Adam, and thou shalt hear how he will",27
Act I,Scene I,Orlando,shake me up.,28
Act I,Scene I,[stage direction],Enter OLIVER,NA
Act I,Scene I,Oliver,"Now, sir! what make you here?",29
Act I,Scene I,Orlando,Nothing: I am not taught to make any thing.,30
Act I,Scene I,Oliver,"What mar you then, sir?",31
Act I,Scene I,Orlando,"Marry, sir, I am helping you to mar that which God",32
Act I,Scene I,Orlando,"made, a poor unworthy brother of yours, with idleness.",33
Act I,Scene I,Oliver,"Marry, sir, be better employed, and be naught awhile.",34
Act I,Scene I,Orlando,Shall I keep your hogs and eat husks with them?,35
Act I,Scene I,Orlando,"What prodigal portion have I spent, that I should",36
Act I,Scene I,Orlando,come to such penury?,37
Act I,Scene I,Oliver,"Know you where your are, sir?",38
Act I,Scene I,Orlando,"O, sir, very well; here in your orchard.",39
Act I,Scene I,Oliver,"Know you before whom, sir?",40
Act I,Scene I,Orlando,"Ay, better than him I am before knows me. I know",41
Act I,Scene I,Orlando,"you are my eldest brother; and, in the gentle",42
Act I,Scene I,Orlando,"condition of blood, you should so know me. The",43
Act I,Scene I,Orlando,"courtesy of nations allows you my better, in that",44
Act I,Scene I,Orlando,you are the first-born; but the same tradition,45
Act I,Scene I,Orlando,"takes not away my blood, were there twenty brothers",46
Act I,Scene I,Orlando,betwixt us: I have as much of my father in me as,47
Act I,Scene I,Orlando,"you; albeit, I confess, your coming before me is",48
Act I,Scene I,Orlando,nearer to his reverence.,49
Act I,Scene I,Oliver,"What, boy!",50
Act I,Scene I,Orlando,"Come, come, elder brother, you are too young in this.",51
Act I,Scene I,Oliver,"Wilt thou lay hands on me, villain?",52
Act I,Scene I,Orlando,I am no villain; I am the youngest son of Sir,53
Act I,Scene I,Orlando,"Rowland de Boys; he was my father, and he is thrice",54
Act I,Scene I,Orlando,a villain that says such a father begot villains.,55
Act I,Scene I,Orlando,"Wert thou not my brother, I would not take this hand",56
Act I,Scene I,Orlando,from thy throat till this other had pulled out thy,57
