act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],Enter DEMETRIUS and PHILO,NA
Act I,Scene I,Philo,"Nay, but this dotage of our general's",1
Act I,Scene I,Philo,"O'erflows the measure: those his goodly eyes,",2
Act I,Scene I,Philo,That o'er the files and musters of the war,3
Act I,Scene I,Philo,"Have glow'd like plated Mars, now bend, now turn,",4
Act I,Scene I,Philo,The office and devotion of their view,5
Act I,Scene I,Philo,"Upon a tawny front: his captain's heart,",6
Act I,Scene I,Philo,Which in the scuffles of great fights hath burst,7
Act I,Scene I,Philo,"The buckles on his breast, reneges all temper,",8
Act I,Scene I,Philo,And is become the bellows and the fan,9
Act I,Scene I,Philo,To cool a gipsy's lust.,10
Act I,Scene I,[stage direction],"Flourish. Enter ANTONY, CLEOPATRA, her Ladies, the Train, with Eunuchs fanning her",NA
Act I,Scene I,Philo,"Look, where they come:",11
Act I,Scene I,Philo,"Take but good note, and you shall see in him.",12
Act I,Scene I,Philo,The triple pillar of the world transform'd,13
Act I,Scene I,Philo,Into a strumpet's fool: behold and see.,14
Act I,Scene I,Cleopatra,"If it be love indeed, tell me how much.",15
Act I,Scene I,Mark Antony,There's beggary in the love that can be reckon'd.,16
Act I,Scene I,Cleopatra,I'll set a bourn how far to be beloved.,17
Act I,Scene I,Mark Antony,"Then must thou needs find out new heaven, new earth.",18
Act I,Scene I,[stage direction],Enter an Attendant,NA
Act I,Scene I,Attendant,"News, my good lord, from Rome.",19
Act I,Scene I,Mark Antony,Grates me: the sum.,20
Act I,Scene I,Cleopatra,"Nay, hear them, Antony:",21
Act I,Scene I,Cleopatra,"Fulvia perchance is angry; or, who knows",22
Act I,Scene I,Cleopatra,If the scarce-bearded Caesar have not sent,23
Act I,Scene I,Cleopatra,"His powerful mandate to you, 'Do this, or this;",24
Act I,Scene I,Cleopatra,"Take in that kingdom, and enfranchise that;",25
Act I,Scene I,Cleopatra,"Perform 't, or else we damn thee.'",26
Act I,Scene I,Mark Antony,"How, my love!",27
Act I,Scene I,Cleopatra,"Perchance! nay, and most like:",28
Act I,Scene I,Cleopatra,"You must not stay here longer, your dismission",29
Act I,Scene I,Cleopatra,"Is come from Caesar; therefore hear it, Antony.",30
Act I,Scene I,Cleopatra,Where's Fulvia's process? Caesar's I would say? both?,31
Act I,Scene I,Cleopatra,"Call in the messengers. As I am Egypt's queen,",32
Act I,Scene I,Cleopatra,"Thou blushest, Antony; and that blood of thine",33
Act I,Scene I,Cleopatra,Is Caesar's homager: else so thy cheek pays shame,34
Act I,Scene I,Cleopatra,When shrill-tongued Fulvia scolds. The messengers!,35
Act I,Scene I,Mark Antony,"Let Rome in Tiber melt, and the wide arch",36
Act I,Scene I,Mark Antony,Of the ranged empire fall! Here is my space.,37
Act I,Scene I,Mark Antony,Kingdoms are clay: our dungy earth alike,38
Act I,Scene I,Mark Antony,Feeds beast as man: the nobleness of life,39
Act I,Scene I,Mark Antony,Is to do thus; when such a mutual pair,40
Act I,Scene I,[stage direction],Embracing,NA
Act I,Scene I,Mark Antony,"And such a twain can do't, in which I bind,",41
Act I,Scene I,Mark Antony,"On pain of punishment, the world to weet",42
Act I,Scene I,Mark Antony,We stand up peerless.,43
Act I,Scene I,Cleopatra,Excellent falsehood!,44
Act I,Scene I,Cleopatra,"Why did he marry Fulvia, and not love her?",45
Act I,Scene I,Cleopatra,I'll seem the fool I am not; Antony,46
Act I,Scene I,Cleopatra,Will be himself.,47
Act I,Scene I,Mark Antony,But stirr'd by Cleopatra.,48
Act I,Scene I,Mark Antony,"Now, for the love of Love and her soft hours,",49
Act I,Scene I,Mark Antony,Let's not confound the time with conference harsh:,50
Act I,Scene I,Mark Antony,There's not a minute of our lives should stretch,51
Act I,Scene I,Mark Antony,Without some pleasure now. What sport tonight?,52
Act I,Scene I,Cleopatra,Hear the ambassadors.,53
Act I,Scene I,Mark Antony,"Fie, wrangling queen!",54
Act I,Scene I,Mark Antony,"Whom every thing becomes, to chide, to laugh,",55
Act I,Scene I,Mark Antony,To weep; whose every passion fully strives,56
Act I,Scene I,Mark Antony,"To make itself, in thee, fair and admired!",57
Act I,Scene I,Mark Antony,"No messenger, but thine; and all alone",58
Act I,Scene I,Mark Antony,To-night we'll wander through the streets and note,59
Act I,Scene I,Mark Antony,"The qualities of people. Come, my queen;",60
Act I,Scene I,Mark Antony,Last night you did desire it: speak not to us.,61
Act I,Scene I,[stage direction],Exeunt MARK ANTONY and CLEOPATRA with their train,NA
Act I,Scene I,Demetrius,Is Caesar with Antonius prized so slight?,62
