act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter DUKE SOLINUS, AEGEON, Gaoler, Officers, and other Attendants",NA
Act I,Scene I,Aegeon,"Proceed, Solinus, to procure my fall",1
Act I,Scene I,Aegeon,And by the doom of death end woes and all.,2
Act I,Scene I,Duke Solinus,"Merchant of Syracuse, plead no more;",3
Act I,Scene I,Duke Solinus,I am not partial to infringe our laws:,4
Act I,Scene I,Duke Solinus,The enmity and discord which of late,5
Act I,Scene I,Duke Solinus,Sprung from the rancorous outrage of your duke,6
Act I,Scene I,Duke Solinus,"To merchants, our well-dealing countrymen,",7
Act I,Scene I,Duke Solinus,Who wanting guilders to redeem their lives,8
Act I,Scene I,Duke Solinus,"Have seal'd his rigorous statutes with their bloods,",9
Act I,Scene I,Duke Solinus,Excludes all pity from our threatening looks.,10
Act I,Scene I,Duke Solinus,"For, since the mortal and intestine jars",11
Act I,Scene I,Duke Solinus,"'Twixt thy seditious countrymen and us,",12
Act I,Scene I,Duke Solinus,It hath in solemn synods been decreed,13
Act I,Scene I,Duke Solinus,"Both by the Syracusians and ourselves,",14
Act I,Scene I,Duke Solinus,"To admit no traffic to our adverse towns Nay, more,",15
Act I,Scene I,Duke Solinus,If any born at Ephesus be seen,16
Act I,Scene I,Duke Solinus,At any Syracusian marts and fairs;,17
Act I,Scene I,Duke Solinus,Again: if any Syracusian born,18
Act I,Scene I,Duke Solinus,"Come to the bay of Ephesus, he dies,",19
Act I,Scene I,Duke Solinus,"His goods confiscate to the duke's dispose,",20
Act I,Scene I,Duke Solinus,"Unless a thousand marks be levied,",21
Act I,Scene I,Duke Solinus,To quit the penalty and to ransom him.,22
Act I,Scene I,Duke Solinus,"Thy substance, valued at the highest rate,",23
Act I,Scene I,Duke Solinus,Cannot amount unto a hundred marks;,24
Act I,Scene I,Duke Solinus,Therefore by law thou art condemned to die.,25
Act I,Scene I,Aegeon,"Yet this my comfort: when your words are done,",26
Act I,Scene I,Aegeon,My woes end likewise with the evening sun.,27
Act I,Scene I,Duke Solinus,"Well, Syracusian, say in brief the cause",28
Act I,Scene I,Duke Solinus,Why thou departed'st from thy native home,29
Act I,Scene I,Duke Solinus,And for what cause thou camest to Ephesus.,30
Act I,Scene I,Aegeon,A heavier task could not have been imposed,31
Act I,Scene I,Aegeon,Than I to speak my griefs unspeakable:,32
Act I,Scene I,Aegeon,"Yet, that the world may witness that my end",33
Act I,Scene I,Aegeon,"Was wrought by nature, not by vile offence,",34
Act I,Scene I,Aegeon,I'll utter what my sorrows give me leave.,35
Act I,Scene I,Aegeon,"In Syracusa was I born, and wed",36
Act I,Scene I,Aegeon,"Unto a woman, happy but for me,",37
Act I,Scene I,Aegeon,"And by me, had not our hap been bad.",38
Act I,Scene I,Aegeon,With her I lived in joy; our wealth increased,39
Act I,Scene I,Aegeon,By prosperous voyages I often made,40
Act I,Scene I,Aegeon,To Epidamnum; till my factor's death,41
Act I,Scene I,Aegeon,And the great care of goods at random left,42
Act I,Scene I,Aegeon,Drew me from kind embracements of my spouse:,43
Act I,Scene I,Aegeon,From whom my absence was not six months old,44
Act I,Scene I,Aegeon,"Before herself, almost at fainting under",45
Act I,Scene I,Aegeon,"The pleasing punishment that women bear,",46
Act I,Scene I,Aegeon,Had made provision for her following me,47
Act I,Scene I,Aegeon,And soon and safe arrived where I was.,48
Act I,Scene I,Aegeon,"There had she not been long, but she became",49
Act I,Scene I,Aegeon,A joyful mother of two goodly sons;,50
Act I,Scene I,Aegeon,"And, which was strange, the one so like the other,",51
Act I,Scene I,Aegeon,As could not be distinguish'd but by names.,52
Act I,Scene I,Aegeon,"That very hour, and in the self-same inn,",53
Act I,Scene I,Aegeon,A meaner woman was delivered,54
Act I,Scene I,Aegeon,"Of such a burden, male twins, both alike:",55
Act I,Scene I,Aegeon,"Those,--for their parents were exceeding poor,--",56
Act I,Scene I,Aegeon,I bought and brought up to attend my sons.,57
Act I,Scene I,Aegeon,"My wife, not meanly proud of two such boys,",58
Act I,Scene I,Aegeon,Made daily motions for our home return:,59
Act I,Scene I,Aegeon,"Unwilling I agreed. Alas! too soon,",60
Act I,Scene I,Aegeon,We came aboard.,61
Act I,Scene I,Aegeon,"A league from Epidamnum had we sail'd,",62
Act I,Scene I,Aegeon,Before the always wind-obeying deep,63
Act I,Scene I,Aegeon,Gave any tragic instance of our harm:,64
Act I,Scene I,Aegeon,But longer did we not retain much hope;,65
Act I,Scene I,Aegeon,For what obscured light the heavens did grant,66
Act I,Scene I,Aegeon,Did but convey unto our fearful minds,67
Act I,Scene I,Aegeon,A doubtful warrant of immediate death;,68
Act I,Scene I,Aegeon,"Which though myself would gladly have embraced,",69
Act I,Scene I,Aegeon,"Yet the incessant weepings of my wife,",70
Act I,Scene I,Aegeon,"Weeping before for what she saw must come,",71
Act I,Scene I,Aegeon,"And piteous plainings of the pretty babes,",72
Act I,Scene I,Aegeon,"That mourn'd for fashion, ignorant what to fear,",73
Act I,Scene I,Aegeon,Forced me to seek delays for them and me.,74
Act I,Scene I,Aegeon,"And this it was, for other means was none:",75
Act I,Scene I,Aegeon,"The sailors sought for safety by our boat,",76
Act I,Scene I,Aegeon,"And left the ship, then sinking-ripe, to us:",77
Act I,Scene I,Aegeon,"My wife, more careful for the latter-born,",78
Act I,Scene I,Aegeon,"Had fasten'd him unto a small spare mast,",79
Act I,Scene I,Aegeon,Such as seafaring men provide for storms;,80
Act I,Scene I,Aegeon,"To him one of the other twins was bound,",81
Act I,Scene I,Aegeon,Whilst I had been like heedful of the other:,82
Act I,Scene I,Aegeon,"The children thus disposed, my wife and I,",83
Act I,Scene I,Aegeon,"Fixing our eyes on whom our care was fix'd,",84
Act I,Scene I,Aegeon,Fasten'd ourselves at either end the mast;,85
Act I,Scene I,Aegeon,"And floating straight, obedient to the stream,",86
Act I,Scene I,Aegeon,"Was carried towards Corinth, as we thought.",87
Act I,Scene I,Aegeon,"At length the sun, gazing upon the earth,",88
Act I,Scene I,Aegeon,Dispersed those vapours that offended us;,89
Act I,Scene I,Aegeon,"And by the benefit of his wished light,",90
Act I,Scene I,Aegeon,"The seas wax'd calm, and we discovered",91
