act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter a company of mutinous Citizens, with staves, clubs, and other weapons",NA
Act I,Scene I,First Citizen,"Before we proceed any further, hear me speak.",1
Act I,Scene I,All,"Speak, speak.",2
Act I,Scene I,First Citizen,You are all resolved rather to die than to famish?,3
Act I,Scene I,All,Resolved. resolved.,4
Act I,Scene I,First Citizen,"First, you know Caius Marcius is chief enemy to the people.",5
Act I,Scene I,All,"We know't, we know't.",6
Act I,Scene I,First Citizen,"Let us kill him, and we'll have corn at our own price.",7
Act I,Scene I,First Citizen,Is't a verdict?,8
Act I,Scene I,All,"No more talking on't; let it be done: away, away!",9
Act I,Scene I,Second Citizen,"One word, good citizens.",10
Act I,Scene I,First Citizen,"We are accounted poor citizens, the patricians good.",11
Act I,Scene I,First Citizen,What authority surfeits on would relieve us: if they,12
Act I,Scene I,First Citizen,"would yield us but the superfluity, while it were",13
Act I,Scene I,First Citizen,"wholesome, we might guess they relieved us humanely;",14
Act I,Scene I,First Citizen,but they think we are too dear: the leanness that,15
Act I,Scene I,First Citizen,"afflicts us, the object of our misery, is as an",16
Act I,Scene I,First Citizen,inventory to particularise their abundance; our,17
Act I,Scene I,First Citizen,sufferance is a gain to them Let us revenge this with,18
Act I,Scene I,First Citizen,"our pikes, ere we become rakes: for the gods know I",19
Act I,Scene I,First Citizen,"speak this in hunger for bread, not in thirst for revenge.",20
Act I,Scene I,Second Citizen,Would you proceed especially against Caius Marcius?,21
Act I,Scene I,All,Against him first: he's a very dog to the commonalty.,22
Act I,Scene I,Second Citizen,Consider you what services he has done for his country?,23
Act I,Scene I,First Citizen,Very well; and could be content to give him good,24
Act I,Scene I,First Citizen,"report fort, but that he pays himself with being proud.",25
Act I,Scene I,Second Citizen,"Nay, but speak not maliciously.",26
Act I,Scene I,First Citizen,"I say unto you, what he hath done famously, he did",27
Act I,Scene I,First Citizen,it to that end: though soft-conscienced men can be,28
Act I,Scene I,First Citizen,content to say it was for his country he did it to,29
Act I,Scene I,First Citizen,please his mother and to be partly proud; which he,30
Act I,Scene I,First Citizen,"is, even till the altitude of his virtue.",31
Act I,Scene I,Second Citizen,"What he cannot help in his nature, you account a",32
Act I,Scene I,Second Citizen,vice in him. You must in no way say he is covetous.,33
Act I,Scene I,First Citizen,"If I must not, I need not be barren of accusations;",34
Act I,Scene I,First Citizen,"he hath faults, with surplus, to tire in repetition.",35
Act I,Scene I,[stage direction],Shouts within,NA
Act I,Scene I,First Citizen,What shouts are these? The other side o' the city,36
Act I,Scene I,First Citizen,is risen: why stay we prating here? to the Capitol!,37
Act I,Scene I,All,"Come, come.",38
Act I,Scene I,First Citizen,Soft! who comes here?,39
Act I,Scene I,[stage direction],Enter MENENIUS AGRIPPA,NA
Act I,Scene I,Second Citizen,Worthy Menenius Agrippa; one that hath always loved,40
Act I,Scene I,Second Citizen,the people.,41
Act I,Scene I,First Citizen,He's one honest enough: would all the rest were so!,42
Act I,Scene I,Menenius,"What work's, my countrymen, in hand? where go you",43
Act I,Scene I,Menenius,"With bats and clubs? The matter? speak, I pray you.",44
Act I,Scene I,First Citizen,Our business is not unknown to the senate; they have,45
Act I,Scene I,First Citizen,"had inkling this fortnight what we intend to do,",46
Act I,Scene I,First Citizen,which now we'll show 'em in deeds. They say poor,47
Act I,Scene I,First Citizen,suitors have strong breaths: they shall know we,48
Act I,Scene I,First Citizen,have strong arms too.,49
Act I,Scene I,Menenius,"Why, masters, my good friends, mine honest neighbours,",50
Act I,Scene I,Menenius,Will you undo yourselves?,51
Act I,Scene I,First Citizen,"We cannot, sir, we are undone already.",52
Act I,Scene I,Menenius,"I tell you, friends, most charitable care",53
Act I,Scene I,Menenius,"Have the patricians of you. For your wants,",54
Act I,Scene I,Menenius,"Your suffering in this dearth, you may as well",55
Act I,Scene I,Menenius,Strike at the heaven with your staves as lift them,56
Act I,Scene I,Menenius,"Against the Roman state, whose course will on",57
Act I,Scene I,Menenius,"The way it takes, cracking ten thousand curbs",58
Act I,Scene I,Menenius,Of more strong link asunder than can ever,59
Act I,Scene I,Menenius,"Appear in your impediment. For the dearth,",60
Act I,Scene I,Menenius,"The gods, not the patricians, make it, and",61
Act I,Scene I,Menenius,"Your knees to them, not arms, must help. Alack,",62
Act I,Scene I,Menenius,You are transported by calamity,63
Act I,Scene I,Menenius,"Thither where more attends you, and you slander",64
Act I,Scene I,Menenius,"The helms o' the state, who care for you like fathers,",65
Act I,Scene I,Menenius,When you curse them as enemies.,66
Act I,Scene I,First Citizen,"Care for us! True, indeed! They ne'er cared for us",67
Act I,Scene I,First Citizen,"yet: suffer us to famish, and their store-houses",68
Act I,Scene I,First Citizen,"crammed with grain; make edicts for usury, to",69
Act I,Scene I,First Citizen,support usurers; repeal daily any wholesome act,70
Act I,Scene I,First Citizen,"established against the rich, and provide more",71
Act I,Scene I,First Citizen,"piercing statutes daily, to chain up and restrain",72
Act I,Scene I,First Citizen,"the poor. If the wars eat us not up, they will; and",73
Act I,Scene I,First Citizen,there's all the love they bear us.,74
Act I,Scene I,Menenius,Either you must,75
Act I,Scene I,Menenius,"Confess yourselves wondrous malicious,",76
Act I,Scene I,Menenius,Or be accused of folly. I shall tell you,77
Act I,Scene I,Menenius,A pretty tale: it may be you have heard it;,78
Act I,Scene I,Menenius,"But, since it serves my purpose, I will venture",79
Act I,Scene I,Menenius,To stale 't a little more.,80
Act I,Scene I,First Citizen,"Well, I'll hear it, sir: yet you must not think to",81
Act I,Scene I,First Citizen,"fob off our disgrace with a tale: but, an 't please",82
Act I,Scene I,First Citizen,"you, deliver.",83
Act I,Scene I,Menenius,There was a time when all the body's members,84
Act I,Scene I,Menenius,"Rebell'd against the belly, thus accused it:",85
Act I,Scene I,Menenius,That only like a gulf it did remain,86
Act I,Scene I,Menenius,"I' the midst o' the body, idle and unactive,",87
Act I,Scene I,Menenius,"Still cupboarding the viand, never bearing",88
Act I,Scene I,Menenius,"Like labour with the rest, where the other instruments",89
Act I,Scene I,Menenius,"Did see and hear, devise, instruct, walk, feel,",90
Act I,Scene I,Menenius,"And, mutually participate, did minister",91
Act I,Scene I,Menenius,Unto the appetite and affection common,92
Act I,Scene I,Menenius,Of the whole body. The belly answer'd--,93
Act I,Scene I,First Citizen,"Well, sir, what answer made the belly?",94
Act I,Scene I,Menenius,"Sir, I shall tell you. With a kind of smile,",95
Act I,Scene I,Menenius,"Which ne'er came from the lungs, but even thus--",96
Act I,Scene I,Menenius,"For, look you, I may make the belly smile",97
Act I,Scene I,Menenius,As well as speak--it tauntingly replied,98
Act I,Scene I,Menenius,"To the discontented members, the mutinous parts",99
Act I,Scene I,Menenius,That envied his receipt; even so most fitly,100
Act I,Scene I,Menenius,As you malign our senators for that,101
Act I,Scene I,Menenius,They are not such as you.,102
Act I,Scene I,First Citizen,Your belly's answer? What!,103
Act I,Scene I,First Citizen,"The kingly-crowned head, the vigilant eye,",104
Act I,Scene I,First Citizen,"The counsellor heart, the arm our soldier,",105
Act I,Scene I,First Citizen,"Our steed the leg, the tongue our trumpeter.",106
Act I,Scene I,First Citizen,With other muniments and petty helps,107
Act I,Scene I,First Citizen,"In this our fabric, if that they--",108
Act I,Scene I,Menenius,What then?,109
Act I,Scene I,Menenius,"'Fore me, this fellow speaks! What then? what then?",110
Act I,Scene I,First Citizen,"Should by the cormorant belly be restrain'd,",111
Act I,Scene I,First Citizen,"Who is the sink o' the body,--",112
Act I,Scene I,Menenius,"Well, what then?",113
Act I,Scene I,First Citizen,"The former agents, if they did complain,",114
Act I,Scene I,First Citizen,What could the belly answer?,115
Act I,Scene I,Menenius,I will tell you,116
Act I,Scene I,Menenius,If you'll bestow a small--of what you have little--,117
Act I,Scene I,Menenius,"Patience awhile, you'll hear the belly's answer.",118
Act I,Scene I,First Citizen,Ye're long about it.,119
Act I,Scene I,Menenius,"Note me this, good friend;",120
Act I,Scene I,Menenius,"Your most grave belly was deliberate,",121
Act I,Scene I,Menenius,"Not rash like his accusers, and thus answer'd:",122
Act I,Scene I,Menenius,"'True is it, my incorporate friends,' quoth he,",123
Act I,Scene I,Menenius,"'That I receive the general food at first,",124
Act I,Scene I,Menenius,"Which you do live upon; and fit it is,",125
Act I,Scene I,Menenius,Because I am the store-house and the shop,126
Act I,Scene I,Menenius,"Of the whole body: but, if you do remember,",127
Act I,Scene I,Menenius,"I send it through the rivers of your blood,",128
Act I,Scene I,Menenius,"Even to the court, the heart, to the seat o' the brain;",129
Act I,Scene I,Menenius,"And, through the cranks and offices of man,",130
Act I,Scene I,Menenius,The strongest nerves and small inferior veins,131
Act I,Scene I,Menenius,From me receive that natural competency,132
Act I,Scene I,Menenius,"Whereby they live: and though that all at once,",133
Act I,Scene I,Menenius,"You, my good friends,'--this says the belly, mark me,--",134
Act I,Scene I,First Citizen,"Ay, sir; well, well.",135
Act I,Scene I,Menenius,'Though all at once cannot,136
Act I,Scene I,Menenius,"See what I do deliver out to each,",137
Act I,Scene I,Menenius,"Yet I can make my audit up, that all",138
Act I,Scene I,Menenius,"From me do back receive the flour of all,",139
Act I,Scene I,Menenius,And leave me but the bran.' What say you to't?,140
Act I,Scene I,First Citizen,It was an answer: how apply you this?,141
Act I,Scene I,Menenius,"The senators of Rome are this good belly,",142
Act I,Scene I,Menenius,And you the mutinous members; for examine,143
Act I,Scene I,Menenius,"Their counsels and their cares, digest things rightly",144
Act I,Scene I,Menenius,"Touching the weal o' the common, you shall find",145
Act I,Scene I,Menenius,No public benefit which you receive,146
Act I,Scene I,Menenius,But it proceeds or comes from them to you,147
Act I,Scene I,Menenius,"And no way from yourselves. What do you think,",148
Act I,Scene I,Menenius,"You, the great toe of this assembly?",149
Act I,Scene I,First Citizen,I the great toe! why the great toe?,150
Act I,Scene I,Menenius,"For that, being one o' the lowest, basest, poorest,",151
Act I,Scene I,Menenius,"Of this most wise rebellion, thou go'st foremost:",152
Act I,Scene I,Menenius,"Thou rascal, that art worst in blood to run,",153
Act I,Scene I,Menenius,Lead'st first to win some vantage.,154
Act I,Scene I,Menenius,But make you ready your stiff bats and clubs:,155
Act I,Scene I,Menenius,Rome and her rats are at the point of battle;,156
Act I,Scene I,Menenius,The one side must have bale.,157
Act I,Scene I,[stage direction],Enter CAIUS MARCIUS,NA
Act I,Scene I,Menenius,"Hail, noble Marcius!",158
Act I,Scene I,Marcius,"Thanks. What's the matter, you dissentious rogues,",159
Act I,Scene I,Marcius,"That, rubbing the poor itch of your opinion,",160
Act I,Scene I,Marcius,Make yourselves scabs?,161
Act I,Scene I,First Citizen,We have ever your good word.,162
Act I,Scene I,Marcius,He that will give good words to thee will flatter,163
Act I,Scene I,Marcius,"Beneath abhorring. What would you have, you curs,",164
Act I,Scene I,Marcius,"That like nor peace nor war? the one affrights you,",165
Act I,Scene I,Marcius,"The other makes you proud. He that trusts to you,",166
Act I,Scene I,Marcius,"Where he should find you lions, finds you hares;",167
Act I,Scene I,Marcius,"Where foxes, geese: you are no surer, no,",168
Act I,Scene I,Marcius,"Than is the coal of fire upon the ice,",169
Act I,Scene I,Marcius,Or hailstone in the sun. Your virtue is,170
Act I,Scene I,Marcius,To make him worthy whose offence subdues him,171
Act I,Scene I,Marcius,And curse that justice did it.,172
Act I,Scene I,Marcius,Who deserves greatness,173
Act I,Scene I,Marcius,Deserves your hate; and your affections are,174
Act I,Scene I,Marcius,"A sick man's appetite, who desires most that",175
Act I,Scene I,Marcius,Which would increase his evil. He that depends,176
Act I,Scene I,Marcius,Upon your favours swims with fins of lead,177
Act I,Scene I,Marcius,And hews down oaks with rushes. Hang ye! Trust Ye?,178
Act I,Scene I,Marcius,"With every minute you do change a mind,",179
Act I,Scene I,Marcius,"And call him noble that was now your hate,",180
Act I,Scene I,Marcius,"Him vile that was your garland. What's the matter,",181
Act I,Scene I,Marcius,That in these several places of the city,182
Act I,Scene I,Marcius,"You cry against the noble senate, who,",183
Act I,Scene I,Marcius,"Under the gods, keep you in awe, which else",184
Act I,Scene I,Marcius,Would feed on one another? What's their seeking?,185
Act I,Scene I,Menenius,"For corn at their own rates; whereof, they say,",186
Act I,Scene I,Menenius,The city is well stored.,187
Act I,Scene I,Marcius,Hang 'em! They say!,188
Act I,Scene I,Marcius,"They'll sit by the fire, and presume to know",189
Act I,Scene I,Marcius,"What's done i' the Capitol; who's like to rise,",190
Act I,Scene I,Marcius,Who thrives and who declines; side factions,191
Act I,Scene I,Marcius,and give out,192
Act I,Scene I,Marcius,Conjectural marriages; making parties strong,193
Act I,Scene I,Marcius,And feebling such as stand not in their liking,194
Act I,Scene I,Marcius,Below their cobbled shoes. They say there's,195
Act I,Scene I,Marcius,grain enough!,196
Act I,Scene I,Marcius,"Would the nobility lay aside their ruth,",197
Act I,Scene I,Marcius,"And let me use my sword, I'll make a quarry",198
Act I,Scene I,Marcius,"With thousands of these quarter'd slaves, as high",199
Act I,Scene I,Marcius,As I could pick my lance.,200
Act I,Scene I,Menenius,"Nay, these are almost thoroughly persuaded;",201
Act I,Scene I,Menenius,"For though abundantly they lack discretion,",202
Act I,Scene I,Menenius,"Yet are they passing cowardly. But, I beseech you,",203
Act I,Scene I,Menenius,What says the other troop?,204
Act I,Scene I,Marcius,They are dissolved: hang 'em!,205
Act I,Scene I,Marcius,"They said they were an-hungry; sigh'd forth proverbs,",206
Act I,Scene I,Marcius,"That hunger broke stone walls, that dogs must eat,",207
Act I,Scene I,Marcius,"That meat was made for mouths, that the gods sent not",208
Act I,Scene I,Marcius,Corn for the rich men only: with these shreds,209
Act I,Scene I,Marcius,"They vented their complainings; which being answer'd,",210
Act I,Scene I,Marcius,"And a petition granted them, a strange one--",211
Act I,Scene I,Marcius,"To break the heart of generosity,",212
Act I,Scene I,Marcius,And make bold power look pale--they threw their caps,213
Act I,Scene I,Marcius,"As they would hang them on the horns o' the moon,",214
Act I,Scene I,Marcius,Shouting their emulation.,215
Act I,Scene I,Menenius,What is granted them?,216
Act I,Scene I,Marcius,"Five tribunes to defend their vulgar wisdoms,",217
Act I,Scene I,Marcius,"Of their own choice: one's Junius Brutus,",218
Act I,Scene I,Marcius,"Sicinius Velutus, and I know not--'Sdeath!",219
Act I,Scene I,Marcius,"The rabble should have first unroof'd the city,",220
Act I,Scene I,Marcius,Ere so prevail'd with me: it will in time,221
Act I,Scene I,Marcius,Win upon power and throw forth greater themes,222
Act I,Scene I,Marcius,For insurrection's arguing.,223
Act I,Scene I,Menenius,This is strange.,224
Act I,Scene I,Marcius,"Go, get you home, you fragments!",225
Act I,Scene I,[stage direction],"Enter a Messenger, hastily",NA
Act I,Scene I,Messenger,Where's Caius Marcius?,226
Act I,Scene I,Marcius,Here: what's the matter?,227
Act I,Scene I,Messenger,"The news is, sir, the Volsces are in arms.",228
Act I,Scene I,Marcius,I am glad on 't: then we shall ha' means to vent,229
Act I,Scene I,Marcius,"Our musty superfluity. See, our best elders.",230
Act I,Scene I,[stage direction],"Enter COMINIUS, TITUS LARTIUS, and other Senators; JUNIUS BRUTUS and SICINIUS VELUTUS",NA
