act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],Enter two Gentlemen,NA
Act I,Scene I,First Gentleman,You do not meet a man but frowns: our bloods,1
Act I,Scene I,First Gentleman,No more obey the heavens than our courtiers,2
Act I,Scene I,First Gentleman,Still seem as does the king.,3
Act I,Scene I,Second Gentleman,But what's the matter?,4
Act I,Scene I,First Gentleman,"His daughter, and the heir of's kingdom, whom",5
Act I,Scene I,First Gentleman,He purposed to his wife's sole son--a widow,6
Act I,Scene I,First Gentleman,That late he married--hath referr'd herself,7
Act I,Scene I,First Gentleman,Unto a poor but worthy gentleman: she's wedded;,8
Act I,Scene I,First Gentleman,Her husband banish'd; she imprison'd: all,9
Act I,Scene I,First Gentleman,Is outward sorrow; though I think the king,10
Act I,Scene I,First Gentleman,Be touch'd at very heart.,11
Act I,Scene I,Second Gentleman,None but the king?,12
Act I,Scene I,First Gentleman,"He that hath lost her too; so is the queen,",13
Act I,Scene I,First Gentleman,"That most desired the match; but not a courtier,",14
Act I,Scene I,First Gentleman,Although they wear their faces to the bent,15
Act I,Scene I,First Gentleman,"Of the king's look's, hath a heart that is not",16
Act I,Scene I,First Gentleman,Glad at the thing they scowl at.,17
Act I,Scene I,Second Gentleman,And why so?,18
Act I,Scene I,First Gentleman,He that hath miss'd the princess is a thing,19
Act I,Scene I,First Gentleman,Too bad for bad report: and he that hath her--,20
Act I,Scene I,First Gentleman,"I mean, that married her, alack, good man!",21
Act I,Scene I,First Gentleman,And therefore banish'd--is a creature such,22
Act I,Scene I,First Gentleman,"As, to seek through the regions of the earth",23
Act I,Scene I,First Gentleman,"For one his like, there would be something failing",24
Act I,Scene I,First Gentleman,In him that should compare. I do not think,25
Act I,Scene I,First Gentleman,So fair an outward and such stuff within,26
Act I,Scene I,First Gentleman,Endows a man but he.,27
Act I,Scene I,Second Gentleman,You speak him far.,28
Act I,Scene I,First Gentleman,"I do extend him, sir, within himself,",29
Act I,Scene I,First Gentleman,Crush him together rather than unfold,30
Act I,Scene I,First Gentleman,His measure duly.,31
Act I,Scene I,Second Gentleman,What's his name and birth?,32
Act I,Scene I,First Gentleman,I cannot delve him to the root: his father,33
Act I,Scene I,First Gentleman,"Was call'd Sicilius, who did join his honour",34
