act,scene,character,dialogue,line_number
Act I,Prologue,[stage direction],Enter Chorus,NA
Act I,Prologue,Chorus,"O for a Muse of fire, that would ascend",1
Act I,Prologue,Chorus,"The brightest heaven of invention,",2
Act I,Prologue,Chorus,"A kingdom for a stage, princes to act",3
Act I,Prologue,Chorus,And monarchs to behold the swelling scene!,4
Act I,Prologue,Chorus,"Then should the warlike Harry, like himself,",5
Act I,Prologue,Chorus,"Assume the port of Mars; and at his heels,",6
Act I,Prologue,Chorus,"Leash'd in like hounds, should famine, sword and fire",7
Act I,Prologue,Chorus,"Crouch for employment. But pardon, and gentles all,",8
Act I,Prologue,Chorus,The flat unraised spirits that have dared,9
Act I,Prologue,Chorus,On this unworthy scaffold to bring forth,10
Act I,Prologue,Chorus,So great an object: can this cockpit hold,11
Act I,Prologue,Chorus,The vasty fields of France? or may we cram,12
Act I,Prologue,Chorus,Within this wooden O the very casques,13
Act I,Prologue,Chorus,That did affright the air at Agincourt?,14
Act I,Prologue,Chorus,"O, pardon! since a crooked figure may",15
Act I,Prologue,Chorus,Attest in little place a million;,16
Act I,Prologue,Chorus,"And let us, ciphers to this great accompt,",17
Act I,Prologue,Chorus,On your imaginary forces work.,18
Act I,Prologue,Chorus,Suppose within the girdle of these walls,19
Act I,Prologue,Chorus,"Are now confined two mighty monarchies,",20
Act I,Prologue,Chorus,Whose high upreared and abutting fronts,21
Act I,Prologue,Chorus,The perilous narrow ocean parts asunder:,22
Act I,Prologue,Chorus,Piece out our imperfections with your thoughts;,23
Act I,Prologue,Chorus,"Into a thousand parts divide on man,",24
Act I,Prologue,Chorus,And make imaginary puissance;,25
Act I,Prologue,Chorus,"Think when we talk of horses, that you see them",26
Act I,Prologue,Chorus,Printing their proud hoofs i' the receiving earth;,27
Act I,Prologue,Chorus,"For 'tis your thoughts that now must deck our kings,",28
Act I,Prologue,Chorus,"Carry them here and there; jumping o'er times,",29
Act I,Prologue,Chorus,Turning the accomplishment of many years,30
Act I,Prologue,Chorus,"Into an hour-glass: for the which supply,",31
Act I,Prologue,Chorus,Admit me Chorus to this history;,32
Act I,Prologue,Chorus,"Who prologue-like your humble patience pray,",33
Act I,Prologue,Chorus,"Gently to hear, kindly to judge, our play.",34
Act I,Prologue,[stage direction],Exit,NA
Act I,Scene I,[stage direction],"Enter the ARCHBISHOP OF CANTERBURY, and the BISHOP OF ELY",NA
Act I,Scene I,Canterbury,"My lord, I'll tell you; that self bill is urged,",35
Act I,Scene I,Canterbury,Which in the eleventh year of the last king's reign,36
Act I,Scene I,Canterbury,"Was like, and had indeed against us pass'd,",37
Act I,Scene I,Canterbury,But that the scambling and unquiet time,38
Act I,Scene I,Canterbury,Did push it out of farther question.,39
Act I,Scene I,Ely,"But how, my lord, shall we resist it now?",40
Act I,Scene I,Canterbury,"It must be thought on. If it pass against us,",41
Act I,Scene I,Canterbury,We lose the better half of our possession:,42
Act I,Scene I,Canterbury,For all the temporal lands which men devout,43
Act I,Scene I,Canterbury,By testament have given to the church,44
Act I,Scene I,Canterbury,Would they strip from us; being valued thus:,45
Act I,Scene I,Canterbury,"As much as would maintain, to the king's honour,",46
Act I,Scene I,Canterbury,"Full fifteen earls and fifteen hundred knights,",47
Act I,Scene I,Canterbury,Six thousand and two hundred good esquires;,48
Act I,Scene I,Canterbury,"And, to relief of lazars and weak age,",49
Act I,Scene I,Canterbury,Of indigent faint souls past corporal toil.,50
Act I,Scene I,Canterbury,A hundred almshouses right well supplied;,51
Act I,Scene I,Canterbury,"And to the coffers of the king beside,",52
Act I,Scene I,Canterbury,A thousand pounds by the year: thus runs the bill.,53
Act I,Scene I,Ely,This would drink deep.,54
Act I,Scene I,Canterbury,'Twould drink the cup and all.,55
Act I,Scene I,Ely,But what prevention?,56
Act I,Scene I,Canterbury,The king is full of grace and fair regard.,57
Act I,Scene I,Ely,And a true lover of the holy church.,58
Act I,Scene I,Canterbury,The courses of his youth promised it not.,59
Act I,Scene I,Canterbury,"The breath no sooner left his father's body,",60
Act I,Scene I,Canterbury,"But that his wildness, mortified in him,",61
Act I,Scene I,Canterbury,"Seem'd to die too; yea, at that very moment",62
Act I,Scene I,Canterbury,"Consideration, like an angel, came",63
Act I,Scene I,Canterbury,"And whipp'd the offending Adam out of him,",64
Act I,Scene I,Canterbury,"Leaving his body as a paradise,",65
Act I,Scene I,Canterbury,To envelop and contain celestial spirits.,66
Act I,Scene I,Canterbury,Never was such a sudden scholar made;,67
Act I,Scene I,Canterbury,"Never came reformation in a flood,",68
Act I,Scene I,Canterbury,"With such a heady currance, scouring faults",69
Act I,Scene I,Canterbury,Nor never Hydra-headed wilfulness,70
Act I,Scene I,Canterbury,So soon did lose his seat and all at once,71
Act I,Scene I,Canterbury,As in this king.,72
Act I,Scene I,Ely,We are blessed in the change.,73
Act I,Scene I,Canterbury,"Hear him but reason in divinity,",74
Act I,Scene I,Canterbury,And all-admiring with an inward wish,75
Act I,Scene I,Canterbury,You would desire the king were made a prelate:,76
Act I,Scene I,Canterbury,"Hear him debate of commonwealth affairs,",77
Act I,Scene I,Canterbury,You would say it hath been all in all his study:,78
Act I,Scene I,Canterbury,"List his discourse of war, and you shall hear",79
Act I,Scene I,Canterbury,A fearful battle render'd you in music:,80
Act I,Scene I,Canterbury,"Turn him to any cause of policy,",81
Act I,Scene I,Canterbury,"The Gordian knot of it he will unloose,",82
Act I,Scene I,Canterbury,"Familiar as his garter: that, when he speaks,",83
Act I,Scene I,Canterbury,"The air, a charter'd libertine, is still,",84
Act I,Scene I,Canterbury,"And the mute wonder lurketh in men's ears,",85
Act I,Scene I,Canterbury,To steal his sweet and honey'd sentences;,86
Act I,Scene I,Canterbury,So that the art and practic part of life,87
Act I,Scene I,Canterbury,Must be the mistress to this theoric:,88
Act I,Scene I,Canterbury,"Which is a wonder how his grace should glean it,",89
Act I,Scene I,Canterbury,"Since his addiction was to courses vain,",90
Act I,Scene I,Canterbury,"His companies unletter'd, rude and shallow,",91
Act I,Scene I,Canterbury,"His hours fill'd up with riots, banquets, sports,",92
Act I,Scene I,Canterbury,"And never noted in him any study,",93
Act I,Scene I,Canterbury,"Any retirement, any sequestration",94
