act,scene,character,dialogue,line_number
Act I,Prologue,Chorus,"I come no more to make you laugh: things now,",1
Act I,Prologue,Chorus,"That bear a weighty and a serious brow,",2
Act I,Prologue,Chorus,"Sad, high, and working, full of state and woe,",3
Act I,Prologue,Chorus,"Such noble scenes as draw the eye to flow,",4
Act I,Prologue,Chorus,"We now present. Those that can pity, here",5
Act I,Prologue,Chorus,"May, if they think it well, let fall a tear;",6
Act I,Prologue,Chorus,The subject will deserve it. Such as give,7
Act I,Prologue,Chorus,"Their money out of hope they may believe,",8
Act I,Prologue,Chorus,May here find truth too. Those that come to see,9
Act I,Prologue,Chorus,"Only a show or two, and so agree",10
Act I,Prologue,Chorus,"The play may pass, if they be still and willing,",11
Act I,Prologue,Chorus,I'll undertake may see away their shilling,12
Act I,Prologue,Chorus,Richly in two short hours. Only they,13
Act I,Prologue,Chorus,"That come to hear a merry bawdy play,",14
Act I,Prologue,Chorus,"A noise of targets, or to see a fellow",15
Act I,Prologue,Chorus,"In a long motley coat guarded with yellow,",16
Act I,Prologue,Chorus,"Will be deceived; for, gentle hearers, know,",17
Act I,Prologue,Chorus,To rank our chosen truth with such a show,18
Act I,Prologue,Chorus,"As fool and fight is, beside forfeiting",19
Act I,Prologue,Chorus,"Our own brains, and the opinion that we bring,",20
Act I,Prologue,Chorus,"To make that only true we now intend,",21
Act I,Prologue,Chorus,Will leave us never an understanding friend.,22
Act I,Prologue,Chorus,"Therefore, for goodness' sake, and as you are known",23
Act I,Prologue,Chorus,"The first and happiest hearers of the town,",24
Act I,Prologue,Chorus,"Be sad, as we would make ye: think ye see",25
Act I,Prologue,Chorus,The very persons of our noble story,26
Act I,Prologue,Chorus,"As they were living; think you see them great,",27
Act I,Prologue,Chorus,And follow'd with the general throng and sweat,28
Act I,Prologue,Chorus,"Of thousand friends; then in a moment, see",29
Act I,Prologue,Chorus,How soon this mightiness meets misery:,30
Act I,Prologue,Chorus,"And, if you can be merry then, I'll say",31
Act I,Prologue,Chorus,A man may weep upon his wedding-day.,32
Act I,Scene I,[stage direction],"Enter NORFOLK at one door; at the other, BUCKINGHAM and ABERGAVENNY",NA
Act I,Scene I,Buckingham,"Good morrow, and well met. How have ye done",33
Act I,Scene I,Buckingham,Since last we saw in France?,34
Act I,Scene I,Norfolk,"I thank your grace,",35
Act I,Scene I,Norfolk,Healthful; and ever since a fresh admirer,36
Act I,Scene I,Norfolk,Of what I saw there.,37
Act I,Scene I,Buckingham,An untimely ague,38
Act I,Scene I,Buckingham,Stay'd me a prisoner in my chamber when,39
Act I,Scene I,Buckingham,"Those suns of glory, those two lights of men,",40
Act I,Scene I,Buckingham,Met in the vale of Andren.,41
Act I,Scene I,Norfolk,'Twixt Guynes and Arde:,42
Act I,Scene I,Norfolk,"I was then present, saw them salute on horseback;",43
Act I,Scene I,Norfolk,"Beheld them, when they lighted, how they clung",44
Act I,Scene I,Norfolk,"In their embracement, as they grew together;",45
Act I,Scene I,Norfolk,"Which had they, what four throned ones could have weigh'd",46
