act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter KING JOHN, QUEEN ELINOR, PEMBROKE, ESSEX, SALISBURY, and others, with CHATILLON",NA
Act I,Scene I,King John,"Now, say, Chatillon, what would France with us?",1
Act I,Scene I,Chatillon,"Thus, after greeting, speaks the King of France",2
Act I,Scene I,Chatillon,"In my behavior to the majesty,",3
Act I,Scene I,Chatillon,"The borrow'd majesty, of England here.",4
Act I,Scene I,Queen Elinor,A strange beginning: 'borrow'd majesty!',5
Act I,Scene I,King John,"Silence, good mother; hear the embassy.",6
Act I,Scene I,Chatillon,"Philip of France, in right and true behalf",7
Act I,Scene I,Chatillon,"Of thy deceased brother Geffrey's son,",8
Act I,Scene I,Chatillon,"Arthur Plantagenet, lays most lawful claim",9
Act I,Scene I,Chatillon,"To this fair island and the territories,",10
Act I,Scene I,Chatillon,"To Ireland, Poictiers, Anjou, Touraine, Maine,",11
Act I,Scene I,Chatillon,Desiring thee to lay aside the sword,12
Act I,Scene I,Chatillon,"Which sways usurpingly these several titles,",13
Act I,Scene I,Chatillon,"And put these same into young Arthur's hand,",14
Act I,Scene I,Chatillon,Thy nephew and right royal sovereign.,15
Act I,Scene I,King John,What follows if we disallow of this?,16
Act I,Scene I,Chatillon,"The proud control of fierce and bloody war,",17
Act I,Scene I,Chatillon,To enforce these rights so forcibly withheld.,18
Act I,Scene I,King John,"Here have we war for war and blood for blood,",19
Act I,Scene I,King John,Controlment for controlment: so answer France.,20
Act I,Scene I,Chatillon,"Then take my king's defiance from my mouth,",21
Act I,Scene I,Chatillon,The farthest limit of my embassy.,22
Act I,Scene I,King John,"Bear mine to him, and so depart in peace:",23
Act I,Scene I,King John,Be thou as lightning in the eyes of France;,24
Act I,Scene I,King John,"For ere thou canst report I will be there,",25
Act I,Scene I,King John,The thunder of my cannon shall be heard:,26
Act I,Scene I,King John,So hence! Be thou the trumpet of our wrath,27
Act I,Scene I,King John,And sullen presage of your own decay.,28
Act I,Scene I,King John,An honourable conduct let him have:,29
Act I,Scene I,King John,"Pembroke, look to 't. Farewell, Chatillon.",30
Act I,Scene I,[stage direction],Exeunt CHATILLON and PEMBROKE,NA
Act I,Scene I,Queen Elinor,"What now, my son! have I not ever said",31
Act I,Scene I,Queen Elinor,How that ambitious Constance would not cease,32
Act I,Scene I,Queen Elinor,"Till she had kindled France and all the world,",33
Act I,Scene I,Queen Elinor,Upon the right and party of her son?,34
Act I,Scene I,Queen Elinor,This might have been prevented and made whole,35
Act I,Scene I,Queen Elinor,"With very easy arguments of love,",36
Act I,Scene I,Queen Elinor,Which now the manage of two kingdoms must,37
Act I,Scene I,Queen Elinor,With fearful bloody issue arbitrate.,38
Act I,Scene I,King John,Our strong possession and our right for us.,39
Act I,Scene I,Queen Elinor,"Your strong possession much more than your right,",40
Act I,Scene I,Queen Elinor,Or else it must go wrong with you and me:,41
Act I,Scene I,Queen Elinor,"So much my conscience whispers in your ear,",42
Act I,Scene I,Queen Elinor,Which none but heaven and you and I shall hear.,43
Act I,Scene I,[stage direction],Enter a Sheriff,NA
Act I,Scene I,Essex,"My liege, here is the strangest controversy",44
Act I,Scene I,Essex,"Come from country to be judged by you,",45
Act I,Scene I,Essex,That e'er I heard: shall I produce the men?,46
Act I,Scene I,King John,Let them approach.,47
Act I,Scene I,King John,Our abbeys and our priories shall pay,48
Act I,Scene I,King John,This expedition's charge.,49
Act I,Scene I,[stage direction],Enter ROBERT and the BASTARD,NA
Act I,Scene I,King John,What men are you?,50
Act I,Scene I,Bastard,"Your faithful subject I, a gentleman",51
Act I,Scene I,Bastard,"Born in Northamptonshire and eldest son,",52
Act I,Scene I,Bastard,"As I suppose, to Robert Faulconbridge,",53
Act I,Scene I,Bastard,"A soldier, by the honour-giving hand",54
Act I,Scene I,Bastard,Of Coeur-de-lion knighted in the field.,55
Act I,Scene I,King John,What art thou?,56
Act I,Scene I,Robert,The son and heir to that same Faulconbridge.,57
Act I,Scene I,King John,"Is that the elder, and art thou the heir?",58
Act I,Scene I,King John,"You came not of one mother then, it seems.",59
Act I,Scene I,Bastard,"Most certain of one mother, mighty king;",60
Act I,Scene I,Bastard,"That is well known; and, as I think, one father:",61
Act I,Scene I,Bastard,But for the certain knowledge of that truth,62
Act I,Scene I,Bastard,I put you o'er to heaven and to my mother:,63
Act I,Scene I,Bastard,"Of that I doubt, as all men's children may.",64
Act I,Scene I,Queen Elinor,"Out on thee, rude man! thou dost shame thy mother",65
Act I,Scene I,Queen Elinor,And wound her honour with this diffidence.,66
Act I,Scene I,Bastard,"I, madam? no, I have no reason for it;",67
Act I,Scene I,Bastard,That is my brother's plea and none of mine;,68
Act I,Scene I,Bastard,"The which if he can prove, a' pops me out",69
Act I,Scene I,Bastard,At least from fair five hundred pound a year:,70
Act I,Scene I,Bastard,Heaven guard my mother's honour and my land!,71
Act I,Scene I,King John,"A good blunt fellow. Why, being younger born,",72
Act I,Scene I,King John,Doth he lay claim to thine inheritance?,73
Act I,Scene I,Bastard,"I know not why, except to get the land.",74
Act I,Scene I,Bastard,But once he slander'd me with bastardy:,75
Act I,Scene I,Bastard,"But whether I be as true begot or no,",76
Act I,Scene I,Bastard,"That still I lay upon my mother's head,",77
Act I,Scene I,Bastard,"But that I am as well begot, my liege,--",78
Act I,Scene I,Bastard,Fair fall the bones that took the pains for me!--,79
Act I,Scene I,Bastard,Compare our faces and be judge yourself.,80
Act I,Scene I,Bastard,If old sir Robert did beget us both,81
Act I,Scene I,Bastard,"And were our father and this son like him,",82
Act I,Scene I,Bastard,"O old sir Robert, father, on my knee",83
Act I,Scene I,Bastard,I give heaven thanks I was not like to thee!,84
Act I,Scene I,King John,"Why, what a madcap hath heaven lent us here!",85
Act I,Scene I,Queen Elinor,He hath a trick of Coeur-de-lion's face;,86
Act I,Scene I,Queen Elinor,The accent of his tongue affecteth him.,87
Act I,Scene I,Queen Elinor,Do you not read some tokens of my son,88
Act I,Scene I,Queen Elinor,In the large composition of this man?,89
Act I,Scene I,King John,Mine eye hath well examined his parts,90
Act I,Scene I,King John,"And finds them perfect Richard. Sirrah, speak,",91
Act I,Scene I,King John,What doth move you to claim your brother's land?,92
Act I,Scene I,Bastard,"Because he hath a half-face, like my father.",93
Act I,Scene I,Bastard,With half that face would he have all my land:,94
Act I,Scene I,Bastard,A half-faced groat five hundred pound a year!,95
Act I,Scene I,Robert,"My gracious liege, when that my father lived,",96
Act I,Scene I,Robert,"Your brother did employ my father much,--",97
Act I,Scene I,Bastard,"Well, sir, by this you cannot get my land:",98
Act I,Scene I,Bastard,Your tale must be how he employ'd my mother.,99
Act I,Scene I,Robert,And once dispatch'd him in an embassy,100
Act I,Scene I,Robert,"To Germany, there with the emperor",101
Act I,Scene I,Robert,To treat of high affairs touching that time.,102
Act I,Scene I,Robert,The advantage of his absence took the king,103
Act I,Scene I,Robert,And in the mean time sojourn'd at my father's;,104
Act I,Scene I,Robert,"Where how he did prevail I shame to speak,",105
Act I,Scene I,Robert,But truth is truth: large lengths of seas and shores,106
Act I,Scene I,Robert,"Between my father and my mother lay,",107
Act I,Scene I,Robert,"As I have heard my father speak himself,",108
Act I,Scene I,Robert,When this same lusty gentleman was got.,109
Act I,Scene I,Robert,Upon his death-bed he by will bequeath'd,110
Act I,Scene I,Robert,"His lands to me, and took it on his death",111
Act I,Scene I,Robert,That this my mother's son was none of his;,112
Act I,Scene I,Robert,"And if he were, he came into the world",113
Act I,Scene I,Robert,Full fourteen weeks before the course of time.,114
Act I,Scene I,Robert,"Then, good my liege, let me have what is mine,",115
Act I,Scene I,Robert,"My father's land, as was my father's will.",116
Act I,Scene I,King John,"Sirrah, your brother is legitimate;",117
Act I,Scene I,King John,"Your father's wife did after wedlock bear him,",118
Act I,Scene I,King John,"And if she did play false, the fault was hers;",119
Act I,Scene I,King John,Which fault lies on the hazards of all husbands,120
Act I,Scene I,King John,"That marry wives. Tell me, how if my brother,",121
Act I,Scene I,King John,"Who, as you say, took pains to get this son,",122
Act I,Scene I,King John,Had of your father claim'd this son for his?,123
Act I,Scene I,King John,"In sooth, good friend, your father might have kept",124
Act I,Scene I,King John,This calf bred from his cow from all the world;,125
Act I,Scene I,King John,"In sooth he might; then, if he were my brother's,",126
Act I,Scene I,King John,"My brother might not claim him; nor your father,",127
Act I,Scene I,King John,"Being none of his, refuse him: this concludes;",128
Act I,Scene I,King John,My mother's son did get your father's heir;,129
Act I,Scene I,King John,Your father's heir must have your father's land.,130
Act I,Scene I,Robert,Shall then my father's will be of no force,131
Act I,Scene I,Robert,To dispossess that child which is not his?,132
