act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter FLAVIUS, MARULLUS, and certain Commoners",NA
Act I,Scene I,Flavius,"Hence! home, you idle creatures get you home:",1
Act I,Scene I,Flavius,"Is this a holiday? what! know you not,",2
Act I,Scene I,Flavius,"Being mechanical, you ought not walk",3
Act I,Scene I,Flavius,Upon a labouring day without the sign,4
Act I,Scene I,Flavius,"Of your profession? Speak, what trade art thou?",5
Act I,Scene I,First Commoner,"Why, sir, a carpenter.",6
Act I,Scene I,Marullus,Where is thy leather apron and thy rule?,7
Act I,Scene I,Marullus,What dost thou with thy best apparel on?,8
Act I,Scene I,Marullus,"You, sir, what trade are you?",9
Act I,Scene I,Second Commoner,"Truly, sir, in respect of a fine workman, I am but,",10
Act I,Scene I,Second Commoner,"as you would say, a cobbler.",11
Act I,Scene I,Marullus,But what trade art thou? answer me directly.,12
Act I,Scene I,Second Commoner,"A trade, sir, that, I hope, I may use with a safe",13
Act I,Scene I,Second Commoner,"conscience; which is, indeed, sir, a mender of bad soles.",14
Act I,Scene I,Marullus,"What trade, thou knave? thou naughty knave, what trade?",15
Act I,Scene I,Second Commoner,"Nay, I beseech you, sir, be not out with me: yet,",16
Act I,Scene I,Second Commoner,"if you be out, sir, I can mend you.",17
Act I,Scene I,Marullus,"What meanest thou by that? mend me, thou saucy fellow!",18
Act I,Scene I,Second Commoner,"Why, sir, cobble you.",19
Act I,Scene I,Flavius,"Thou art a cobbler, art thou?",20
Act I,Scene I,Second Commoner,"Truly, sir, all that I live by is with the awl: I",21
Act I,Scene I,Second Commoner,"meddle with no tradesman's matters, nor women's",22
Act I,Scene I,Second Commoner,"matters, but with awl. I am, indeed, sir, a surgeon",23
Act I,Scene I,Second Commoner,"to old shoes; when they are in great danger, I",24
Act I,Scene I,Second Commoner,recover them. As proper men as ever trod upon,25
Act I,Scene I,Second Commoner,neat's leather have gone upon my handiwork.,26
Act I,Scene I,Flavius,But wherefore art not in thy shop today?,27
Act I,Scene I,Flavius,Why dost thou lead these men about the streets?,28
Act I,Scene I,Second Commoner,"Truly, sir, to wear out their shoes, to get myself",29
Act I,Scene I,Second Commoner,"into more work. But, indeed, sir, we make holiday,",30
Act I,Scene I,Second Commoner,to see Caesar and to rejoice in his triumph.,31
Act I,Scene I,Marullus,Wherefore rejoice? What conquest brings he home?,32
Act I,Scene I,Marullus,"What tributaries follow him to Rome,",33
Act I,Scene I,Marullus,To grace in captive bonds his chariot-wheels?,34
Act I,Scene I,Marullus,"You blocks, you stones, you worse than senseless things!",35
Act I,Scene I,Marullus,"O you hard hearts, you cruel men of Rome,",36
Act I,Scene I,Marullus,Knew you not Pompey? Many a time and oft,37
Act I,Scene I,Marullus,"Have you climb'd up to walls and battlements,",38
Act I,Scene I,Marullus,"To towers and windows, yea, to chimney-tops,",39
Act I,Scene I,Marullus,"Your infants in your arms, and there have sat",40
Act I,Scene I,Marullus,"The livelong day, with patient expectation,",41
Act I,Scene I,Marullus,To see great Pompey pass the streets of Rome:,42
Act I,Scene I,Marullus,"And when you saw his chariot but appear,",43
Act I,Scene I,Marullus,"Have you not made an universal shout,",44
Act I,Scene I,Marullus,"That Tiber trembled underneath her banks,",45
Act I,Scene I,Marullus,To hear the replication of your sounds,46
Act I,Scene I,Marullus,Made in her concave shores?,47
Act I,Scene I,Marullus,And do you now put on your best attire?,48
Act I,Scene I,Marullus,And do you now cull out a holiday?,49
Act I,Scene I,Marullus,And do you now strew flowers in his way,50
Act I,Scene I,Marullus,That comes in triumph over Pompey's blood? Be gone!,51
Act I,Scene I,Marullus,"Run to your houses, fall upon your knees,",52
Act I,Scene I,Marullus,Pray to the gods to intermit the plague,53
Act I,Scene I,Marullus,That needs must light on this ingratitude.,54
Act I,Scene I,Flavius,"Go, go, good countrymen, and, for this fault,",55
Act I,Scene I,Flavius,Assemble all the poor men of your sort;,56
Act I,Scene I,Flavius,"Draw them to Tiber banks, and weep your tears",57
Act I,Scene I,Flavius,"Into the channel, till the lowest stream",58
Act I,Scene I,Flavius,Do kiss the most exalted shores of all.,59
Act I,Scene I,[stage direction],Exeunt all the Commoners,NA
Act I,Scene I,Flavius,See whether their basest metal be not moved;,60
Act I,Scene I,Flavius,They vanish tongue-tied in their guiltiness.,61
Act I,Scene I,Flavius,Go you down that way towards the Capitol;,62
Act I,Scene I,This Way Will I,"disrobe the images,",63
Act I,Scene I,This Way Will I,If you do find them deck'd with ceremonies.,64
Act I,Scene I,Marullus,May we do so?,65
Act I,Scene I,Marullus,You know it is the feast of Lupercal.,66
Act I,Scene I,Flavius,It is no matter; let no images,67
Act I,Scene I,Flavius,"Be hung with Caesar's trophies. I'll about,",68
Act I,Scene I,Flavius,And drive away the vulgar from the streets:,69
Act I,Scene I,Flavius,"So do you too, where you perceive them thick.",70
Act I,Scene I,Flavius,These growing feathers pluck'd from Caesar's wing,71
Act I,Scene I,Flavius,"Will make him fly an ordinary pitch,",72
Act I,Scene I,Flavius,Who else would soar above the view of men,73
Act I,Scene I,Flavius,And keep us all in servile fearfulness.,74
Act I,Scene I,[stage direction],Exeunt,NA
Act I,Scene II,[stage direction],"Flourish. Enter CAESAR; ANTONY, for the course;  CALPURNIA, PORTIA, DECIUS BRUTUS, CICERO, BRUTUS,  CASSIUS, and CASCA; a great crowd following, among them a Soothsayer",NA
Act I,Scene II,Caesar,Calpurnia!,75
Act I,Scene II,Casca,"Peace, ho! Caesar speaks.",76
Act I,Scene II,Caesar,Calpurnia!,77
Act I,Scene II,Calpurnia,"Here, my lord.",78
Act I,Scene II,Caesar,"Stand you directly in Antonius' way,",79
Act I,Scene II,Caesar,When he doth run his course. Antonius!,80
Act I,Scene II,Antony,"Caesar, my lord?",81
Act I,Scene II,Caesar,"Forget not, in your speed, Antonius,",82
Act I,Scene II,Caesar,"To touch Calpurnia; for our elders say,",83
Act I,Scene II,Caesar,"The barren, touched in this holy chase,",84
Act I,Scene II,Caesar,Shake off their sterile curse.,85
Act I,Scene II,Antony,I shall remember:,86
Act I,Scene II,Antony,"When Caesar says 'do this,' it is perform'd.",87
Act I,Scene II,Caesar,Set on; and leave no ceremony out.,88
Act I,Scene II,[stage direction],Flourish,NA
Act I,Scene II,Soothsayer,Caesar!,89
Act I,Scene II,Caesar,Ha! who calls?,90
Act I,Scene II,Casca,Bid every noise be still: peace yet again!,91
Act I,Scene II,Caesar,Who is it in the press that calls on me?,92
Act I,Scene II,Caesar,"I hear a tongue, shriller than all the music,",93
Act I,Scene II,Caesar,Cry 'Caesar!' Speak; Caesar is turn'd to hear.,94
Act I,Scene II,Soothsayer,Beware the ides of March.,95
Act I,Scene II,Caesar,What man is that?,96
Act I,Scene II,Brutus,A soothsayer bids you beware the ides of March.,97
Act I,Scene II,Caesar,Set him before me; let me see his face.,98
Act I,Scene II,Cassius,"Fellow, come from the throng; look upon Caesar.",99
Act I,Scene II,Caesar,What say'st thou to me now? speak once again.,100
Act I,Scene II,Soothsayer,Beware the ides of March.,101
