act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter KENT, GLOUCESTER, and EDMUND",NA
Act I,Scene I,Kent,I thought the king had more affected the Duke of,1
Act I,Scene I,Kent,Albany than Cornwall.,2
Act I,Scene I,Gloucester,"It did always seem so to us: but now, in the",3
Act I,Scene I,Gloucester,"division of the kingdom, it appears not which of",4
Act I,Scene I,Gloucester,the dukes he values most; for equalities are so,5
Act I,Scene I,Gloucester,"weighed, that curiosity in neither can make choice",6
Act I,Scene I,Gloucester,of either's moiety.,7
Act I,Scene I,Kent,"Is not this your son, my lord?",8
Act I,Scene I,Gloucester,"His breeding, sir, hath been at my charge: I have",9
Act I,Scene I,Gloucester,"so often blushed to acknowledge him, that now I am",10
Act I,Scene I,Gloucester,brazed to it.,11
Act I,Scene I,Kent,I cannot conceive you.,12
Act I,Scene I,Gloucester,"Sir, this young fellow's mother could: whereupon",13
Act I,Scene I,Gloucester,"she grew round-wombed, and had, indeed, sir, a son",14
Act I,Scene I,Gloucester,for her cradle ere she had a husband for her bed.,15
Act I,Scene I,Gloucester,Do you smell a fault?,16
Act I,Scene I,Kent,"I cannot wish the fault undone, the issue of it",17
Act I,Scene I,Kent,being so proper.,18
Act I,Scene I,Gloucester,"But I have, sir, a son by order of law, some year",19
Act I,Scene I,Gloucester,"elder than this, who yet is no dearer in my account:",20
Act I,Scene I,Gloucester,though this knave came something saucily into the,21
Act I,Scene I,Gloucester,"world before he was sent for, yet was his mother",22
Act I,Scene I,Gloucester,"fair; there was good sport at his making, and the",23
Act I,Scene I,Gloucester,whoreson must be acknowledged. Do you know this,24
Act I,Scene I,Gloucester,"noble gentleman, Edmund?",25
Act I,Scene I,Edmund,"No, my lord.",26
Act I,Scene I,Gloucester,My lord of Kent: remember him hereafter as my,27
Act I,Scene I,Gloucester,honourable friend.,28
Act I,Scene I,Edmund,My services to your lordship.,29
Act I,Scene I,Kent,"I must love you, and sue to know you better.",30
Act I,Scene I,Edmund,"Sir, I shall study deserving.",31
Act I,Scene I,Gloucester,"He hath been out nine years, and away he shall",32
Act I,Scene I,Gloucester,again. The king is coming.,33
Act I,Scene I,[stage direction],"Sennet. Enter KING LEAR, CORNWALL, ALBANY, GONERIL, REGAN, CORDELIA, and Attendants",NA
Act I,Scene I,King Lear,"Attend the lords of France and Burgundy, Gloucester.",34
Act I,Scene I,Gloucester,"I shall, my liege.",35
Act I,Scene I,[stage direction],Exeunt GLOUCESTER and EDMUND,NA
Act I,Scene I,King Lear,Meantime we shall express our darker purpose.,36
Act I,Scene I,King Lear,Give me the map there. Know that we have divided,37
Act I,Scene I,King Lear,In three our kingdom: and 'tis our fast intent,38
Act I,Scene I,King Lear,To shake all cares and business from our age;,39
Act I,Scene I,King Lear,"Conferring them on younger strengths, while we",40
Act I,Scene I,King Lear,"Unburthen'd crawl toward death. Our son of Cornwall,",41
Act I,Scene I,King Lear,"And you, our no less loving son of Albany,",42
Act I,Scene I,King Lear,We have this hour a constant will to publish,43
