act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter FERDINAND king of Navarre, BIRON, LONGAVILLE and DUMAIN",NA
Act I,Scene I,Ferdinand,"Let fame, that all hunt after in their lives,",1
Act I,Scene I,Ferdinand,Live register'd upon our brazen tombs,2
Act I,Scene I,Ferdinand,And then grace us in the disgrace of death;,3
Act I,Scene I,Ferdinand,"When, spite of cormorant devouring Time,",4
Act I,Scene I,Ferdinand,The endeavor of this present breath may buy,5
Act I,Scene I,Ferdinand,That honour which shall bate his scythe's keen edge,6
Act I,Scene I,Ferdinand,And make us heirs of all eternity.,7
Act I,Scene I,Ferdinand,"Therefore, brave conquerors,--for so you are,",8
Act I,Scene I,Ferdinand,That war against your own affections,9
Act I,Scene I,Ferdinand,"And the huge army of the world's desires,--",10
Act I,Scene I,Ferdinand,Our late edict shall strongly stand in force:,11
Act I,Scene I,Ferdinand,Navarre shall be the wonder of the world;,12
Act I,Scene I,Ferdinand,"Our court shall be a little Academe,",13
Act I,Scene I,Ferdinand,Still and contemplative in living art.,14
Act I,Scene I,Ferdinand,"You three, Biron, Dumain, and Longaville,",15
Act I,Scene I,Ferdinand,Have sworn for three years' term to live with me,16
Act I,Scene I,Ferdinand,"My fellow-scholars, and to keep those statutes",17
Act I,Scene I,Ferdinand,That are recorded in this schedule here:,18
Act I,Scene I,Ferdinand,"Your oaths are pass'd; and now subscribe your names,",19
Act I,Scene I,Ferdinand,That his own hand may strike his honour down,20
Act I,Scene I,Ferdinand,That violates the smallest branch herein:,21
Act I,Scene I,Ferdinand,"If you are arm'd to do as sworn to do,",22
Act I,Scene I,Ferdinand,"Subscribe to your deep oaths, and keep it too.",23
Act I,Scene I,Longaville,I am resolved; 'tis but a three years' fast:,24
Act I,Scene I,Longaville,"The mind shall banquet, though the body pine:",25
Act I,Scene I,Longaville,"Fat paunches have lean pates, and dainty bits",26
Act I,Scene I,Longaville,"Make rich the ribs, but bankrupt quite the wits.",27
Act I,Scene I,Dumain,"My loving lord, Dumain is mortified:",28
Act I,Scene I,Dumain,The grosser manner of these world's delights,29
Act I,Scene I,Dumain,He throws upon the gross world's baser slaves:,30
Act I,Scene I,Dumain,"To love, to wealth, to pomp, I pine and die;",31
Act I,Scene I,Dumain,With all these living in philosophy.,32
Act I,Scene I,Biron,I can but say their protestation over;,33
Act I,Scene I,Biron,"So much, dear liege, I have already sworn,",34
Act I,Scene I,Biron,"That is, to live and study here three years.",35
Act I,Scene I,Biron,But there are other strict observances;,36
Act I,Scene I,Biron,"As, not to see a woman in that term,",37
Act I,Scene I,Biron,Which I hope well is not enrolled there;,38
Act I,Scene I,Biron,And one day in a week to touch no food,39
Act I,Scene I,Biron,"And but one meal on every day beside,",40
Act I,Scene I,Biron,The which I hope is not enrolled there;,41
Act I,Scene I,Biron,"And then, to sleep but three hours in the night,",42
Act I,Scene I,Biron,And not be seen to wink of all the day--,43
