act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter DUKE VINCENTIO, ESCALUS, Lords and Attendants",NA
Act I,Scene I,Duke Vincentio,Escalus.,1
Act I,Scene I,Escalus,My lord.,2
Act I,Scene I,Duke Vincentio,"Of government the properties to unfold,",3
Act I,Scene I,Duke Vincentio,Would seem in me to affect speech and discourse;,4
Act I,Scene I,Duke Vincentio,Since I am put to know that your own science,5
Act I,Scene I,Duke Vincentio,"Exceeds, in that, the lists of all advice",6
Act I,Scene I,Duke Vincentio,"My strength can give you: then no more remains,",7
Act I,Scene I,Duke Vincentio,"But that to your sufficiency as your Worth is able,",8
Act I,Scene I,Duke Vincentio,"And let them work. The nature of our people,",9
Act I,Scene I,Duke Vincentio,"Our city's institutions, and the terms",10
Act I,Scene I,Duke Vincentio,"For common justice, you're as pregnant in",11
Act I,Scene I,Duke Vincentio,As art and practise hath enriched any,12
Act I,Scene I,Duke Vincentio,"That we remember. There is our commission,",13
Act I,Scene I,Duke Vincentio,"From which we would not have you warp. Call hither,",14
Act I,Scene I,Duke Vincentio,"I say, bid come before us Angelo.",15
Act I,Scene I,[stage direction],Exit an Attendant,NA
Act I,Scene I,Duke Vincentio,What figure of us think you he will bear?,16
Act I,Scene I,Duke Vincentio,"For you must know, we have with special soul",17
Act I,Scene I,Duke Vincentio,"Elected him our absence to supply,",18
Act I,Scene I,Duke Vincentio,"Lent him our terror, dress'd him with our love,",19
Act I,Scene I,Duke Vincentio,And given his deputation all the organs,20
Act I,Scene I,Duke Vincentio,Of our own power: what think you of it?,21
Act I,Scene I,Escalus,If any in Vienna be of worth,22
Act I,Scene I,Escalus,"To undergo such ample grace and honour,",23
Act I,Scene I,Escalus,It is Lord Angelo.,24
Act I,Scene I,Duke Vincentio,Look where he comes.,25
Act I,Scene I,[stage direction],Enter ANGELO,NA
Act I,Scene I,Angelo,"Always obedient to your grace's will,",26
Act I,Scene I,Angelo,I come to know your pleasure.,27
Act I,Scene I,Duke Vincentio,"Angelo,",28
Act I,Scene I,Duke Vincentio,"There is a kind of character in thy life,",29
Act I,Scene I,Duke Vincentio,That to the observer doth thy history,30
Act I,Scene I,Duke Vincentio,Fully unfold. Thyself and thy belongings,31
Act I,Scene I,Duke Vincentio,Are not thine own so proper as to waste,32
Act I,Scene I,Duke Vincentio,"Thyself upon thy virtues, they on thee.",33
Act I,Scene I,Duke Vincentio,"Heaven doth with us as we with torches do,",34
Act I,Scene I,Duke Vincentio,Not light them for themselves; for if our virtues,35
Act I,Scene I,Duke Vincentio,"Did not go forth of us, 'twere all alike",36
Act I,Scene I,Duke Vincentio,As if we had them not. Spirits are not finely touch'd,37
Act I,Scene I,Duke Vincentio,"But to fine issues, nor Nature never lends",38
Act I,Scene I,Duke Vincentio,The smallest scruple of her excellence,39
Act I,Scene I,Duke Vincentio,"But, like a thrifty goddess, she determines",40
Act I,Scene I,Duke Vincentio,"Herself the glory of a creditor,",41
Act I,Scene I,Duke Vincentio,Both thanks and use. But I do bend my speech,42
Act I,Scene I,Duke Vincentio,To one that can my part in him advertise;,43
