act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter ANTONIO, SALARINO, and SALANIO",NA
Act I,Scene I,Antonio,"In sooth, I know not why I am so sad:",1
Act I,Scene I,Antonio,It wearies me; you say it wearies you;,2
Act I,Scene I,Antonio,"But how I caught it, found it, or came by it,",3
Act I,Scene I,Antonio,"What stuff 'tis made of, whereof it is born,",4
Act I,Scene I,Antonio,I am to learn;,5
Act I,Scene I,Antonio,"And such a want-wit sadness makes of me,",6
Act I,Scene I,Antonio,That I have much ado to know myself.,7
Act I,Scene I,Salarino,Your mind is tossing on the ocean;,8
Act I,Scene I,Salarino,"There, where your argosies with portly sail,",9
Act I,Scene I,Salarino,"Like signiors and rich burghers on the flood,",10
Act I,Scene I,Salarino,"Or, as it were, the pageants of the sea,",11
Act I,Scene I,Salarino,"Do overpeer the petty traffickers,",12
Act I,Scene I,Salarino,"That curtsy to them, do them reverence,",13
Act I,Scene I,Salarino,As they fly by them with their woven wings.,14
Act I,Scene I,Salanio,"Believe me, sir, had I such venture forth,",15
Act I,Scene I,Salanio,The better part of my affections would,16
Act I,Scene I,Salanio,Be with my hopes abroad. I should be still,17
Act I,Scene I,Salanio,"Plucking the grass, to know where sits the wind,",18
Act I,Scene I,Salanio,Peering in maps for ports and piers and roads;,19
Act I,Scene I,Salanio,And every object that might make me fear,20
Act I,Scene I,Salanio,"Misfortune to my ventures, out of doubt",21
Act I,Scene I,Salanio,Would make me sad.,22
Act I,Scene I,Salarino,My wind cooling my broth,23
Act I,Scene I,Salarino,"Would blow me to an ague, when I thought",24
Act I,Scene I,Salarino,What harm a wind too great at sea might do.,25
Act I,Scene I,Salarino,"I should not see the sandy hour-glass run,",26
Act I,Scene I,Salarino,"But I should think of shallows and of flats,",27
Act I,Scene I,Salarino,"And see my wealthy Andrew dock'd in sand,",28
Act I,Scene I,Salarino,Vailing her high-top lower than her ribs,29
Act I,Scene I,Salarino,To kiss her burial. Should I go to church,30
Act I,Scene I,Salarino,"And see the holy edifice of stone,",31
Act I,Scene I,Salarino,"And not bethink me straight of dangerous rocks,",32
Act I,Scene I,Salarino,"Which touching but my gentle vessel's side,",33
Act I,Scene I,Salarino,"Would scatter all her spices on the stream,",34
Act I,Scene I,Salarino,"Enrobe the roaring waters with my silks,",35
Act I,Scene I,Salarino,"And, in a word, but even now worth this,",36
Act I,Scene I,Salarino,And now worth nothing? Shall I have the thought,37
