act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter SHALLOW, SLENDER, and SIR HUGH EVANS",NA
Act I,Scene I,Shallow,"Sir Hugh, persuade me not; I will make a Star-",1
Act I,Scene I,Shallow,chamber matter of it: if he were twenty Sir John,2
Act I,Scene I,Shallow,"Falstaffs, he shall not abuse Robert Shallow, esquire.",3
Act I,Scene I,Slender,"In the county of Gloucester, justice of peace and",4
Act I,Scene I,Slender,'Coram.',5
Act I,Scene I,Shallow,"Ay, cousin Slender, and 'Custalourum.",6
Act I,Scene I,Slender,"Ay, and 'Rato-lorum' too; and a gentleman born,",7
Act I,Scene I,Slender,"master parson; who writes himself 'Armigero,' in any",8
Act I,Scene I,Slender,"bill, warrant, quittance, or obligation, 'Armigero.'",9
Act I,Scene I,Shallow,"Ay, that I do; and have done any time these three",10
Act I,Scene I,Shallow,hundred years.,11
Act I,Scene I,Slender,All his successors gone before him hath done't; and,12
Act I,Scene I,Slender,all his ancestors that come after him may: they may,13
Act I,Scene I,Slender,give the dozen white luces in their coat.,14
Act I,Scene I,Shallow,It is an old coat.,15
Act I,Scene I,Sir Hugh Evans,The dozen white louses do become an old coat well;,16
Act I,Scene I,Sir Hugh Evans,"it agrees well, passant; it is a familiar beast to",17
Act I,Scene I,Sir Hugh Evans,"man, and signifies love.",18
Act I,Scene I,Shallow,The luce is the fresh fish; the salt fish is an old coat.,19
Act I,Scene I,Slender,"I may quarter, coz.",20
Act I,Scene I,Shallow,"You may, by marrying.",21
Act I,Scene I,Sir Hugh Evans,"It is marring indeed, if he quarter it.",22
Act I,Scene I,Shallow,Not a whit.,23
Act I,Scene I,Sir Hugh Evans,"Yes, py'r lady; if he has a quarter of your coat,",24
Act I,Scene I,Sir Hugh Evans,"there is but three skirts for yourself, in my",25
Act I,Scene I,Sir Hugh Evans,simple conjectures: but that is all one. If Sir,26
Act I,Scene I,Sir Hugh Evans,John Falstaff have committed disparagements unto,27
Act I,Scene I,Sir Hugh Evans,"you, I am of the church, and will be glad to do my",28
Act I,Scene I,Sir Hugh Evans,benevolence to make atonements and compremises,29
Act I,Scene I,Sir Hugh Evans,between you.,30
Act I,Scene I,Shallow,The council shall bear it; it is a riot.,31
Act I,Scene I,Sir Hugh Evans,It is not meet the council hear a riot; there is no,32
Act I,Scene I,Sir Hugh Evans,"fear of Got in a riot: the council, look you, shall",33
Act I,Scene I,Sir Hugh Evans,"desire to hear the fear of Got, and not to hear a",34
Act I,Scene I,Sir Hugh Evans,riot; take your vizaments in that.,35
Act I,Scene I,Shallow,"Ha! o' my life, if I were young again, the sword",36
Act I,Scene I,Shallow,should end it.,37
Act I,Scene I,Sir Hugh Evans,"It is petter that friends is the sword, and end it:",38
Act I,Scene I,Sir Hugh Evans,"and there is also another device in my prain, which",39
Act I,Scene I,Sir Hugh Evans,peradventure prings goot discretions with it: there,40
Act I,Scene I,Sir Hugh Evans,"is Anne Page, which is daughter to Master Thomas",41
Act I,Scene I,Sir Hugh Evans,"Page, which is pretty virginity.",42
Act I,Scene I,Slender,"Mistress Anne Page? She has brown hair, and speaks",43
Act I,Scene I,Slender,small like a woman.,44
Act I,Scene I,Sir Hugh Evans,"It is that fery person for all the orld, as just as",45
Act I,Scene I,Sir Hugh Evans,"you will desire; and seven hundred pounds of moneys,",46
Act I,Scene I,Sir Hugh Evans,"and gold and silver, is her grandsire upon his",47
Act I,Scene I,Sir Hugh Evans,death's-bed--Got deliver to a joyful resurrections!,48
Act I,Scene I,Sir Hugh Evans,"--give, when she is able to overtake seventeen years",49
Act I,Scene I,Sir Hugh Evans,old: it were a goot motion if we leave our pribbles,50
Act I,Scene I,Sir Hugh Evans,"and prabbles, and desire a marriage between Master",51
Act I,Scene I,Sir Hugh Evans,Abraham and Mistress Anne Page.,52
Act I,Scene I,Slender,Did her grandsire leave her seven hundred pound?,53
Act I,Scene I,Sir Hugh Evans,"Ay, and her father is make her a petter penny.",54
Act I,Scene I,Slender,I know the young gentlewoman; she has good gifts.,55
Act I,Scene I,Sir Hugh Evans,Seven hundred pounds and possibilities is goot gifts.,56
Act I,Scene I,Shallow,"Well, let us see honest Master Page. Is Falstaff there?",57
Act I,Scene I,Sir Hugh Evans,Shall I tell you a lie? I do despise a liar as I do,58
Act I,Scene I,Sir Hugh Evans,"despise one that is false, or as I despise one that",59
Act I,Scene I,Sir Hugh Evans,"is not true. The knight, Sir John, is there; and, I",60
Act I,Scene I,Sir Hugh Evans,"beseech you, be ruled by your well-willers. I will",61
Act I,Scene I,Sir Hugh Evans,peat the door for Master Page.,62
Act I,Scene I,[stage direction],Knocks,NA
Act I,Scene I,Sir Hugh Evans,"What, hoa! Got pless your house here!",63
Act I,Scene I,Page,[Within]  Who's there?,64
Act I,Scene I,[stage direction],Enter PAGE,NA
Act I,Scene I,Sir Hugh Evans,"Here is Got's plessing, and your friend, and Justice",65
Act I,Scene I,Sir Hugh Evans,"Shallow; and here young Master Slender, that",66
Act I,Scene I,Sir Hugh Evans,"peradventures shall tell you another tale, if",67
Act I,Scene I,Sir Hugh Evans,matters grow to your likings.,68
Act I,Scene I,Page,I am glad to see your worships well.,69
Act I,Scene I,Page,"I thank you for my venison, Master Shallow.",70
Act I,Scene I,Shallow,"Master Page, I am glad to see you: much good do it",71
Act I,Scene I,Shallow,your good heart! I wished your venison better; it,72
Act I,Scene I,Shallow,was ill killed. How doth good Mistress Page?--and I,73
Act I,Scene I,Shallow,"thank you always with my heart, la! with my heart.",74
Act I,Scene I,Page,"Sir, I thank you.",75
Act I,Scene I,Shallow,"Sir, I thank you; by yea and no, I do.",76
Act I,Scene I,Page,"I am glad to see you, good Master Slender.",77
Act I,Scene I,Slender,"How does your fallow greyhound, sir? I heard say he",78
Act I,Scene I,Slender,was outrun on Cotsall.,79
Act I,Scene I,Page,"It could not be judged, sir.",80
Act I,Scene I,Slender,"You'll not confess, you'll not confess.",81
Act I,Scene I,Shallow,"That he will not. 'Tis your fault, 'tis your fault;",82
Act I,Scene I,Shallow,'tis a good dog.,83
Act I,Scene I,Page,"A cur, sir.",84
Act I,Scene I,Shallow,"Sir, he's a good dog, and a fair dog: can there be",85
Act I,Scene I,Shallow,more said? he is good and fair. Is Sir John,86
Act I,Scene I,Shallow,Falstaff here?,87
Act I,Scene I,Page,"Sir, he is within; and I would I could do a good",88
Act I,Scene I,Page,office between you.,89
Act I,Scene I,Sir Hugh Evans,It is spoke as a Christians ought to speak.,90
Act I,Scene I,Shallow,"He hath wronged me, Master Page.",91
Act I,Scene I,Page,"Sir, he doth in some sort confess it.",92
Act I,Scene I,Shallow,"If it be confessed, it is not redress'd: is not that",93
Act I,Scene I,Shallow,"so, Master Page? He hath wronged me; indeed he",94
Act I,Scene I,Shallow,"hath, at a word, he hath, believe me: Robert",95
Act I,Scene I,Shallow,"Shallow, esquire, saith, he is wronged.",96
Act I,Scene I,Page,Here comes Sir John.,97
Act I,Scene I,[stage direction],"Enter FALSTAFF, BARDOLPH, NYM, and PISTOL",NA
Act I,Scene I,Falstaff,"Now, Master Shallow, you'll complain of me to the king?",98
Act I,Scene I,Shallow,"Knight, you have beaten my men, killed my deer, and",99
Act I,Scene I,Shallow,broke open my lodge.,100
Act I,Scene I,Falstaff,But not kissed your keeper's daughter?,101
Act I,Scene I,Shallow,"Tut, a pin! this shall be answered.",102
Act I,Scene I,Falstaff,I will answer it straight; I have done all this.,103
Act I,Scene I,Falstaff,That is now answered.,104
Act I,Scene I,Shallow,The council shall know this.,105
Act I,Scene I,Falstaff,'Twere better for you if it were known in counsel:,106
Act I,Scene I,Falstaff,you'll be laughed at.,107
Act I,Scene I,Sir Hugh Evans,"Pauca verba, Sir John; goot worts.",108
Act I,Scene I,Falstaff,"Good worts! good cabbage. Slender, I broke your",109
Act I,Scene I,Falstaff,head: what matter have you against me?,110
Act I,Scene I,Slender,"Marry, sir, I have matter in my head against you;",111
Act I,Scene I,Slender,"and against your cony-catching rascals, Bardolph,",112
Act I,Scene I,Slender,"Nym, and Pistol.",113
Act I,Scene I,Bardolph,You Banbury cheese!,114
Act I,Scene I,Slender,"Ay, it is no matter.",115
Act I,Scene I,Pistol,"How now, Mephostophilus!",116
Act I,Scene I,Slender,"Ay, it is no matter.",117
Act I,Scene I,Nym,"Slice, I say! pauca, pauca: slice! that's my humour.",118
Act I,Scene I,Slender,"Where's Simple, my man? Can you tell, cousin?",119
Act I,Scene I,Sir Hugh Evans,"Peace, I pray you. Now let us understand. There is",120
Act I,Scene I,Sir Hugh Evans,"three umpires in this matter, as I understand; that",121
Act I,Scene I,Sir Hugh Evans,"is, Master Page, fidelicet Master Page; and there is",122
Act I,Scene I,Sir Hugh Evans,"myself, fidelicet myself; and the three party is,",123
