Title,Genre,URL,File
All's Well That Ends Well,Comedy,https://shakespeare.mit.edu/allswell/full.html,allswell
As You Like It,Comedy,https://shakespeare.mit.edu/asyoulikeit/full.html,asyoulikeit
The Comedy of Errors,Comedy,https://shakespeare.mit.edu/comedy_errors/full.html,comedy_errors
Cymbeline,Comedy,https://shakespeare.mit.edu/cymbeline/full.html,cymbeline
Love's Labours Lost,Comedy,https://shakespeare.mit.edu/lll/full.html,lll
Measure for Measure,Comedy,https://shakespeare.mit.edu/measure/full.html,measure
The Merry Wives of Windsor,Comedy,https://shakespeare.mit.edu/merry_wives/full.html,merry_wives
The Merchant of Venice,Comedy,https://shakespeare.mit.edu/merchant/full.html,merchant
A Midsummer Night's Dream,Comedy,https://shakespeare.mit.edu/midsummer/full.html,midsummer
Much Ado About Nothing,Comedy,https://shakespeare.mit.edu/much_ado/full.html,much_ado
"Pericles, Prince of Tyre",Comedy,https://shakespeare.mit.edu/pericles/full.html,pericles
Taming of the Shrew,Comedy,https://shakespeare.mit.edu/taming_shrew/full.html,taming_shrew
The Tempest,Comedy,https://shakespeare.mit.edu/tempest/full.html,tempest
Troilus and Cressida,Comedy,https://shakespeare.mit.edu/troilus_cressida/full.html,troilus_cressida
Twelfth Night,Comedy,https://shakespeare.mit.edu/twelfth_night/full.html,twelfth_night
Two Gentlemen of Verona,Comedy,https://shakespeare.mit.edu/two_gentlemen/full.html,two_gentlemen
Winter's Tale,Comedy,https://shakespeare.mit.edu/winters_tale/full.html,winters_tale
"Henry IV, part 1",History,https://shakespeare.mit.edu/1henryiv/full.html,1henryiv
"Henry IV, part 2",History,https://shakespeare.mit.edu/2henryiv/full.html,2henryiv
Henry V,History,https://shakespeare.mit.edu/henryv/full.html,henryv
"Henry VI, part 1",History,https://shakespeare.mit.edu/1henryvi/full.html,1henryvi
"Henry VI, part 2",History,https://shakespeare.mit.edu/2henryvi/full.html,2henryvi
"Henry VI, part 3",History,https://shakespeare.mit.edu/3henryvi/full.html,3henryvi
Henry VIII,History,https://shakespeare.mit.edu/henryviii/full.html,henryviii
King John,History,https://shakespeare.mit.edu/john/full.html,john
Richard II,History,https://shakespeare.mit.edu/richardii/full.html,richardii
Richard III,History,https://shakespeare.mit.edu/richardiii/full.html,richardiii
Antony and Cleopatra,Tragedy,https://shakespeare.mit.edu/cleopatra/full.html,cleopatra
Coriolanus,Tragedy,https://shakespeare.mit.edu/coriolanus/full.html,coriolanus
Hamlet,Tragedy,https://shakespeare.mit.edu/hamlet/full.html,hamlet
Julius Caesar,Tragedy,https://shakespeare.mit.edu/julius_caesar/full.html,julius_caesar
King Lear,Tragedy,https://shakespeare.mit.edu/lear/full.html,lear
Macbeth,Tragedy,https://shakespeare.mit.edu/macbeth/full.html,macbeth
Othello,Tragedy,https://shakespeare.mit.edu/othello/full.html,othello
Romeo and Juliet,Tragedy,https://shakespeare.mit.edu/romeo_juliet/full.html,romeo_juliet
Timon of Athens,Tragedy,https://shakespeare.mit.edu/timon/full.html,timon
Titus Andronicus,Tragedy,https://shakespeare.mit.edu/titus/full.html,titus
A Lover's Complaint,Poetry,https://shakespeare.mit.edu/Poetry/LoversComplaint.html,LoversComplaint
The Rape of Lucrece,Poetry,https://shakespeare.mit.edu/Poetry/RapeOfLucrece.html,RapeOfLucrece
Venus and Adonis,Poetry,https://shakespeare.mit.edu/Poetry/VenusAndAdonis.html,VenusAndAdonis
Funeral Elegy by W.S.,Poetry,https://shakespeare.mit.edu/Poetry/elegy.html,elegy
"I. FROM fairest creatures we desire increase,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.I.html,sonnetI
"II. When forty winters shall beseige thy brow,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.II.html,sonnetII
"III. Look in thy glass, and tell the face thou viewest",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.III.html,sonnetIII
"IV. Unthrifty loveliness, why dost thou spend",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.IV.html,sonnetIV
"V. Those hours, that with gentle work did frame",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.V.html,sonnetV
VI. Then let not winter's ragged hand deface,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.VI.html,sonnetVI
VII. Lo! in the orient when the gracious light,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.VII.html,sonnetVII
"VIII. Music to hear, why hear'st thou music sadly?",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.VIII.html,sonnetVIII
IX. Is it for fear to wet a widow's eye,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.IX.html,sonnetIX
"X. For shame! deny that thou bear'st love to any,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.X.html,sonnetX
"XI. As fast as thou shalt wane, so fast thou growest",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XI.html,sonnetXI
"XII. When I do count the clock that tells the time,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XII.html,sonnetXII
"XIII. O, that you were yourself! but, love, you are",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XIII.html,sonnetXIII
XIV. Not from the stars do I my judgment pluck;,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XIV.html,sonnetXIV
XV. When I consider every thing that grows,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XV.html,sonnetXV
XVI. But wherefore do not you a mightier way,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XVI.html,sonnetXVI
"XVII. Who will believe my verse in time to come,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XVII.html,sonnetXVII
XVIII. Shall I compare thee to a summer's day?,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XVIII.html,sonnetXVIII
"XIX. Devouring Time, blunt thou the lion's paws,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XIX.html,sonnetXIX
XX. A woman's face with Nature's own hand painted,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XX.html,sonnetXX
XXI. So is it not with me as with that Muse,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXI.html,sonnetXXI
"XXII. My glass shall not persuade me I am old,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXII.html,sonnetXXII
XXIII. As an unperfect actor on the stage,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXIII.html,sonnetXXIII
XXIV. Mine eye hath play'd the painter and hath stell'd,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXIV.html,sonnetXXIV
XXV. Let those who are in favour with their stars,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXV.html,sonnetXXV
"XXVI. Lord of my love, to whom in vassalage",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXVI.html,sonnetXXVI
"XXVII. Weary with toil, I haste me to my bed,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXVII.html,sonnetXXVII
"XXVIII. How can I then return in happy plight,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXVIII.html,sonnetXXVIII
"XXIX. When, in disgrace with fortune and men's eyes,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXIX.html,sonnetXXIX
XXX. When to the sessions of sweet silent thought,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXX.html,sonnetXXX
"XXXI. Thy bosom is endeared with all hearts,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXXI.html,sonnetXXXI
"XXXII. If thou survive my well-contented day,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XXXII.html,sonnetXXXII
