act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter THESEUS, HIPPOLYTA, PHILOSTRATE, and Attendants",NA
Act I,Scene I,Theseus,"Now, fair Hippolyta, our nuptial hour",1
Act I,Scene I,Theseus,Draws on apace; four happy days bring in,2
Act I,Scene I,Theseus,"Another moon: but, O, methinks, how slow",3
Act I,Scene I,Theseus,"This old moon wanes! she lingers my desires,",4
Act I,Scene I,Theseus,Like to a step-dame or a dowager,5
Act I,Scene I,Theseus,Long withering out a young man revenue.,6
Act I,Scene I,Hippolyta,Four days will quickly steep themselves in night;,7
Act I,Scene I,Hippolyta,Four nights will quickly dream away the time;,8
Act I,Scene I,Hippolyta,"And then the moon, like to a silver bow",9
Act I,Scene I,Hippolyta,"New-bent in heaven, shall behold the night",10
Act I,Scene I,Hippolyta,Of our solemnities.,11
Act I,Scene I,Theseus,"Go, Philostrate,",12
Act I,Scene I,Theseus,Stir up the Athenian youth to merriments;,13
Act I,Scene I,Theseus,Awake the pert and nimble spirit of mirth;,14
Act I,Scene I,Theseus,Turn melancholy forth to funerals;,15
Act I,Scene I,Theseus,The pale companion is not for our pomp.,16
Act I,Scene I,[stage direction],Exit PHILOSTRATE,NA
Act I,Scene I,Theseus,"Hippolyta, I woo'd thee with my sword,",17
Act I,Scene I,Theseus,"And won thy love, doing thee injuries;",18
Act I,Scene I,Theseus,"But I will wed thee in another key,",19
Act I,Scene I,Theseus,"With pomp, with triumph and with revelling.",20
Act I,Scene I,[stage direction],"Enter EGEUS, HERMIA, LYSANDER, and DEMETRIUS",NA
Act I,Scene I,Egeus,"Happy be Theseus, our renowned duke!",21
Act I,Scene I,Theseus,"Thanks, good Egeus: what's the news with thee?",22
Act I,Scene I,Egeus,"Full of vexation come I, with complaint",23
Act I,Scene I,Egeus,"Against my child, my daughter Hermia.",24
Act I,Scene I,Egeus,"Stand forth, Demetrius. My noble lord,",25
Act I,Scene I,Egeus,This man hath my consent to marry her.,26
Act I,Scene I,Egeus,"Stand forth, Lysander: and my gracious duke,",27
Act I,Scene I,Egeus,This man hath bewitch'd the bosom of my child;,28
Act I,Scene I,Egeus,"Thou, thou, Lysander, thou hast given her rhymes,",29
Act I,Scene I,Egeus,And interchanged love-tokens with my child:,30
Act I,Scene I,Egeus,"Thou hast by moonlight at her window sung,",31
Act I,Scene I,Egeus,"With feigning voice verses of feigning love,",32
Act I,Scene I,Egeus,And stolen the impression of her fantasy,33
Act I,Scene I,Egeus,"With bracelets of thy hair, rings, gawds, conceits,",34
Act I,Scene I,Egeus,"Knacks, trifles, nosegays, sweetmeats, messengers",35
Act I,Scene I,Egeus,Of strong prevailment in unharden'd youth:,36
Act I,Scene I,Egeus,"With cunning hast thou filch'd my daughter's heart,",37
Act I,Scene I,Egeus,"Turn'd her obedience, which is due to me,",38
Act I,Scene I,Egeus,"To stubborn harshness: and, my gracious duke,",39
Act I,Scene I,Egeus,Be it so she; will not here before your grace,40
Act I,Scene I,Egeus,"Consent to marry with Demetrius,",41
Act I,Scene I,Egeus,"I beg the ancient privilege of Athens,",42
Act I,Scene I,Egeus,"As she is mine, I may dispose of her:",43
Act I,Scene I,Egeus,Which shall be either to this gentleman,44
Act I,Scene I,Egeus,"Or to her death, according to our law",45
Act I,Scene I,Egeus,Immediately provided in that case.,46
Act I,Scene I,Theseus,"What say you, Hermia? be advised fair maid:",47
Act I,Scene I,Theseus,To you your father should be as a god;,48
Act I,Scene I,Theseus,"One that composed your beauties, yea, and one",49
Act I,Scene I,Theseus,To whom you are but as a form in wax,50
Act I,Scene I,Theseus,By him imprinted and within his power,51
Act I,Scene I,Theseus,To leave the figure or disfigure it.,52
Act I,Scene I,Theseus,Demetrius is a worthy gentleman.,53
Act I,Scene I,Hermia,So is Lysander.,54
Act I,Scene I,Theseus,In himself he is;,55
Act I,Scene I,Theseus,"But in this kind, wanting your father's voice,",56
Act I,Scene I,Theseus,The other must be held the worthier.,57
Act I,Scene I,Hermia,I would my father look'd but with my eyes.,58
Act I,Scene I,Theseus,Rather your eyes must with his judgment look.,59
Act I,Scene I,Hermia,I do entreat your grace to pardon me.,60
Act I,Scene I,Hermia,"I know not by what power I am made bold,",61
Act I,Scene I,Hermia,"Nor how it may concern my modesty,",62
Act I,Scene I,Hermia,In such a presence here to plead my thoughts;,63
Act I,Scene I,Hermia,But I beseech your grace that I may know,64
Act I,Scene I,Hermia,"The worst that may befall me in this case,",65
Act I,Scene I,Hermia,If I refuse to wed Demetrius.,66
Act I,Scene I,Theseus,Either to die the death or to abjure,67
Act I,Scene I,Theseus,For ever the society of men.,68
Act I,Scene I,Theseus,"Therefore, fair Hermia, question your desires;",69
Act I,Scene I,Theseus,"Know of your youth, examine well your blood,",70
Act I,Scene I,Theseus,"Whether, if you yield not to your father's choice,",71
Act I,Scene I,Theseus,"You can endure the livery of a nun,",72
Act I,Scene I,Theseus,"For aye to be in shady cloister mew'd,",73
Act I,Scene I,Theseus,"To live a barren sister all your life,",74
Act I,Scene I,Theseus,Chanting faint hymns to the cold fruitless moon.,75
Act I,Scene I,Theseus,"Thrice-blessed they that master so their blood,",76
Act I,Scene I,Theseus,To undergo such maiden pilgrimage;,77
Act I,Scene I,Theseus,"But earthlier happy is the rose distill'd,",78
Act I,Scene I,Theseus,Than that which withering on the virgin thorn,79
Act I,Scene I,Theseus,"Grows, lives and dies in single blessedness.",80
Act I,Scene I,Hermia,"So will I grow, so live, so die, my lord,",81
Act I,Scene I,Hermia,Ere I will my virgin patent up,82
Act I,Scene I,Hermia,"Unto his lordship, whose unwished yoke",83
Act I,Scene I,Hermia,My soul consents not to give sovereignty.,84
Act I,Scene I,Theseus,"Take time to pause; and, by the next new moon--",85
Act I,Scene I,Theseus,"The sealing-day betwixt my love and me,",86
Act I,Scene I,Theseus,For everlasting bond of fellowship--,87
Act I,Scene I,Theseus,Upon that day either prepare to die,88
Act I,Scene I,Theseus,"For disobedience to your father's will,",89
Act I,Scene I,Theseus,"Or else to wed Demetrius, as he would;",90
Act I,Scene I,Theseus,Or on Diana's altar to protest,91
Act I,Scene I,Theseus,For aye austerity and single life.,92
Act I,Scene I,Demetrius,"Relent, sweet Hermia: and, Lysander, yield",93
Act I,Scene I,Demetrius,Thy crazed title to my certain right.,94
Act I,Scene I,Lysander,"You have her father's love, Demetrius;",95
Act I,Scene I,Lysander,Let me have Hermia's: do you marry him.,96
Act I,Scene I,Egeus,"Scornful Lysander! true, he hath my love,",97
Act I,Scene I,Egeus,And what is mine my love shall render him.,98
Act I,Scene I,Egeus,"And she is mine, and all my right of her",99
Act I,Scene I,Egeus,I do estate unto Demetrius.,100
Act I,Scene I,Lysander,"I am, my lord, as well derived as he,",101
Act I,Scene I,Lysander,As well possess'd; my love is more than his;,102
