act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter LEONATO, HERO, and BEATRICE, with a Messenger",NA
Act I,Scene I,Leonato,I learn in this letter that Don Peter of Arragon,1
Act I,Scene I,Leonato,comes this night to Messina.,2
Act I,Scene I,Messenger,He is very near by this: he was not three leagues off,3
Act I,Scene I,Messenger,when I left him.,4
Act I,Scene I,Leonato,How many gentlemen have you lost in this action?,5
Act I,Scene I,Messenger,"But few of any sort, and none of name.",6
Act I,Scene I,Leonato,A victory is twice itself when the achiever brings,7
Act I,Scene I,Leonato,home full numbers. I find here that Don Peter hath,8
Act I,Scene I,Leonato,bestowed much honour on a young Florentine called Claudio.,9
Act I,Scene I,Messenger,Much deserved on his part and equally remembered by,10
Act I,Scene I,Messenger,Don Pedro: he hath borne himself beyond the,11
Act I,Scene I,Messenger,"promise of his age, doing, in the figure of a lamb,",12
Act I,Scene I,Messenger,the feats of a lion: he hath indeed better,13
Act I,Scene I,Messenger,bettered expectation than you must expect of me to,14
Act I,Scene I,Messenger,tell you how.,15
Act I,Scene I,Leonato,He hath an uncle here in Messina will be very much,16
Act I,Scene I,Leonato,glad of it.,17
Act I,Scene I,Messenger,"I have already delivered him letters, and there",18
Act I,Scene I,Messenger,appears much joy in him; even so much that joy could,19
Act I,Scene I,Messenger,not show itself modest enough without a badge of,20
Act I,Scene I,Messenger,bitterness.,21
Act I,Scene I,Leonato,Did he break out into tears?,22
Act I,Scene I,Messenger,In great measure.,23
Act I,Scene I,Leonato,A kind overflow of kindness: there are no faces,24
Act I,Scene I,Leonato,truer than those that are so washed. How much,25
Act I,Scene I,Leonato,better is it to weep at joy than to joy at weeping!,26
Act I,Scene I,Beatrice,"I pray you, is Signior Mountanto returned from the",27
Act I,Scene I,Beatrice,wars or no?,28
Act I,Scene I,Messenger,"I know none of that name, lady: there was none such",29
Act I,Scene I,Messenger,in the army of any sort.,30
Act I,Scene I,Leonato,"What is he that you ask for, niece?",31
Act I,Scene I,Hero,My cousin means Signior Benedick of Padua.,32
Act I,Scene I,Messenger,"O, he's returned; and as pleasant as ever he was.",33
Act I,Scene I,Beatrice,He set up his bills here in Messina and challenged,34
Act I,Scene I,Beatrice,"Cupid at the flight; and my uncle's fool, reading",35
Act I,Scene I,Beatrice,"the challenge, subscribed for Cupid, and challenged",36
Act I,Scene I,Beatrice,"him at the bird-bolt. I pray you, how many hath he",37
Act I,Scene I,Beatrice,killed and eaten in these wars? But how many hath,38
Act I,Scene I,Beatrice,he killed? for indeed I promised to eat all of his killing.,39
Act I,Scene I,Leonato,"Faith, niece, you tax Signior Benedick too much;",40
Act I,Scene I,Leonato,"but he'll be meet with you, I doubt it not.",41
Act I,Scene I,Messenger,"He hath done good service, lady, in these wars.",42
Act I,Scene I,Beatrice,"You had musty victual, and he hath holp to eat it:",43
Act I,Scene I,Beatrice,he is a very valiant trencherman; he hath an,44
Act I,Scene I,Beatrice,excellent stomach.,45
Act I,Scene I,Messenger,"And a good soldier too, lady.",46
Act I,Scene I,Beatrice,And a good soldier to a lady: but what is he to a lord?,47
Act I,Scene I,Messenger,"A lord to a lord, a man to a man; stuffed with all",48
Act I,Scene I,Messenger,honourable virtues.,49
Act I,Scene I,Beatrice,"It is so, indeed; he is no less than a stuffed man:",50
Act I,Scene I,Beatrice,"but for the stuffing,--well, we are all mortal.",51
Act I,Scene I,Leonato,"You must not, sir, mistake my niece. There is a",52
Act I,Scene I,Leonato,kind of merry war betwixt Signior Benedick and her:,53
Act I,Scene I,Leonato,they never meet but there's a skirmish of wit,54
Act I,Scene I,Leonato,between them.,55
Act I,Scene I,Beatrice,Alas! he gets nothing by that. In our last,56
Act I,Scene I,Beatrice,"conflict four of his five wits went halting off, and",57
Act I,Scene I,Beatrice,now is the whole man governed with one: so that if,58
Act I,Scene I,Beatrice,"he have wit enough to keep himself warm, let him",59
Act I,Scene I,Beatrice,bear it for a difference between himself and his,60
Act I,Scene I,Beatrice,"horse; for it is all the wealth that he hath left,",61
Act I,Scene I,Beatrice,to be known a reasonable creature. Who is his,62
Act I,Scene I,Beatrice,companion now? He hath every month a new sworn brother.,63
Act I,Scene I,Messenger,Is't possible?,64
Act I,Scene I,Beatrice,Very easily possible: he wears his faith but as,65
Act I,Scene I,Beatrice,the fashion of his hat; it ever changes with the,66
Act I,Scene I,Beatrice,next block.,67
Act I,Scene I,Messenger,"I see, lady, the gentleman is not in your books.",68
Act I,Scene I,Beatrice,"No; an he were, I would burn my study. But, I pray",69
Act I,Scene I,Beatrice,"you, who is his companion? Is there no young",70
Act I,Scene I,Beatrice,squarer now that will make a voyage with him to the devil?,71
Act I,Scene I,Messenger,He is most in the company of the right noble Claudio.,72
Act I,Scene I,Beatrice,"O Lord, he will hang upon him like a disease: he",73
Act I,Scene I,Beatrice,"is sooner caught than the pestilence, and the taker",74
Act I,Scene I,Beatrice,runs presently mad. God help the noble Claudio! if,75
Act I,Scene I,Beatrice,"he have caught the Benedick, it will cost him a",76
Act I,Scene I,Beatrice,thousand pound ere a' be cured.,77
Act I,Scene I,Messenger,"I will hold friends with you, lady.",78
Act I,Scene I,Beatrice,"Do, good friend.",79
Act I,Scene I,Leonato,"You will never run mad, niece.",80
Act I,Scene I,Beatrice,"No, not till a hot January.",81
Act I,Scene I,Messenger,Don Pedro is approached.,82
Act I,Scene I,[stage direction],"Enter DON PEDRO, DON JOHN, CLAUDIO, BENEDICK, and BALTHASAR",NA
Act I,Scene I,Don Pedro,"Good Signior Leonato, you are come to meet your",83
Act I,Scene I,Don Pedro,trouble: the fashion of the world is to avoid,84
Act I,Scene I,Don Pedro,"cost, and you encounter it.",85
Act I,Scene I,Leonato,Never came trouble to my house in the likeness of,86
Act I,Scene I,Leonato,"your grace: for trouble being gone, comfort should",87
Act I,Scene I,Leonato,"remain; but when you depart from me, sorrow abides",88
Act I,Scene I,Leonato,and happiness takes his leave.,89
Act I,Scene I,Don Pedro,You embrace your charge too willingly. I think this,90
Act I,Scene I,Don Pedro,is your daughter.,91
Act I,Scene I,Leonato,Her mother hath many times told me so.,92
Act I,Scene I,Benedick,"Were you in doubt, sir, that you asked her?",93
Act I,Scene I,Leonato,"Signior Benedick, no; for then were you a child.",94
Act I,Scene I,Don Pedro,"You have it full, Benedick: we may guess by this",95
Act I,Scene I,Don Pedro,"what you are, being a man. Truly, the lady fathers",96
Act I,Scene I,Don Pedro,"herself. Be happy, lady; for you are like an",97
Act I,Scene I,Don Pedro,honourable father.,98
Act I,Scene I,Benedick,"If Signior Leonato be her father, she would not",99
Act I,Scene I,Benedick,"have his head on her shoulders for all Messina, as",100
Act I,Scene I,Benedick,like him as she is.,101
Act I,Scene I,Beatrice,"I wonder that you will still be talking, Signior",102
Act I,Scene I,Beatrice,Benedick: nobody marks you.,103
Act I,Scene I,Benedick,"What, my dear Lady Disdain! are you yet living?",104
