act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],Enter RODERIGO and IAGO,NA
Act I,Scene I,Roderigo,Tush! never tell me; I take it much unkindly,1
Act I,Scene I,Roderigo,"That thou, Iago, who hast had my purse",2
Act I,Scene I,Roderigo,"As if the strings were thine, shouldst know of this.",3
Act I,Scene I,Iago,"'Sblood, but you will not hear me:",4
Act I,Scene I,Iago,"If ever I did dream of such a matter, Abhor me.",5
Act I,Scene I,Roderigo,Thou told'st me thou didst hold him in thy hate.,6
Act I,Scene I,Iago,"Despise me, if I do not. Three great ones of the city,",7
Act I,Scene I,Iago,"In personal suit to make me his lieutenant,",8
Act I,Scene I,Iago,"Off-capp'd to him: and, by the faith of man,",9
Act I,Scene I,Iago,"I know my price, I am worth no worse a place:",10
Act I,Scene I,Iago,"But he; as loving his own pride and purposes,",11
Act I,Scene I,Iago,"Evades them, with a bombast circumstance",12
Act I,Scene I,Iago,Horribly stuff'd with epithets of war;,13
Act I,Scene I,Iago,"And, in conclusion,",14
Act I,Scene I,Iago,"Nonsuits my mediators; for, 'Certes,' says he,",15
Act I,Scene I,Iago,'I have already chose my officer.',16
Act I,Scene I,Iago,And what was he?,17
Act I,Scene I,Iago,"Forsooth, a great arithmetician,",18
Act I,Scene I,Iago,"One Michael Cassio, a Florentine,",19
Act I,Scene I,Iago,A fellow almost damn'd in a fair wife;,20
Act I,Scene I,Iago,"That never set a squadron in the field,",21
Act I,Scene I,Iago,Nor the division of a battle knows,22
Act I,Scene I,Iago,"More than a spinster; unless the bookish theoric,",23
Act I,Scene I,Iago,Wherein the toged consuls can propose,24
Act I,Scene I,Iago,"As masterly as he: mere prattle, without practise,",25
Act I,Scene I,Iago,"Is all his soldiership. But he, sir, had the election:",26
Act I,Scene I,Iago,"And I, of whom his eyes had seen the proof",27
Act I,Scene I,Iago,"At Rhodes, at Cyprus and on other grounds",28
Act I,Scene I,Iago,"Christian and heathen, must be be-lee'd and calm'd",29
Act I,Scene I,Iago,"By debitor and creditor: this counter-caster,",30
Act I,Scene I,Iago,"He, in good time, must his lieutenant be,",31
Act I,Scene I,Iago,And I--God bless the mark!--his Moorship's ancient.,32
Act I,Scene I,Roderigo,"By heaven, I rather would have been his hangman.",33
Act I,Scene I,Iago,"Why, there's no remedy; 'tis the curse of service,",34
Act I,Scene I,Iago,"Preferment goes by letter and affection,",35
Act I,Scene I,Iago,"And not by old gradation, where each second",36
Act I,Scene I,Iago,"Stood heir to the first. Now, sir, be judge yourself,",37
Act I,Scene I,Iago,Whether I in any just term am affined,38
Act I,Scene I,Iago,To love the Moor.,39
Act I,Scene I,Roderigo,I would not follow him then.,40
Act I,Scene I,Iago,"O, sir, content you;",41
Act I,Scene I,Iago,I follow him to serve my turn upon him:,42
Act I,Scene I,Iago,"We cannot all be masters, nor all masters",43
Act I,Scene I,Iago,Cannot be truly follow'd. You shall mark,44
Act I,Scene I,Iago,"Many a duteous and knee-crooking knave,",45
Act I,Scene I,Iago,"That, doting on his own obsequious bondage,",46
Act I,Scene I,Iago,"Wears out his time, much like his master's ass,",47
Act I,Scene I,Iago,"For nought but provender, and when he's old, cashier'd:",48
Act I,Scene I,Iago,Whip me such honest knaves. Others there are,49
Act I,Scene I,Iago,"Who, trimm'd in forms and visages of duty,",50
Act I,Scene I,Iago,"Keep yet their hearts attending on themselves,",51
Act I,Scene I,Iago,"And, throwing but shows of service on their lords,",52
Act I,Scene I,Iago,Do well thrive by them and when they have lined,53
Act I,Scene I,Iago,their coats,54
Act I,Scene I,Iago,Do themselves homage: these fellows have some soul;,55
Act I,Scene I,Iago,"And such a one do I profess myself. For, sir,",56
Act I,Scene I,Iago,"It is as sure as you are Roderigo,",57
Act I,Scene I,Iago,"Were I the Moor, I would not be Iago:",58
Act I,Scene I,Iago,"In following him, I follow but myself;",59
Act I,Scene I,Iago,"Heaven is my judge, not I for love and duty,",60
Act I,Scene I,Iago,"But seeming so, for my peculiar end:",61
Act I,Scene I,Iago,For when my outward action doth demonstrate,62
Act I,Scene I,Iago,The native act and figure of my heart,63
Act I,Scene I,Iago,"In compliment extern, 'tis not long after",64
Act I,Scene I,Iago,But I will wear my heart upon my sleeve,65
Act I,Scene I,Iago,For daws to peck at: I am not what I am.,66
Act I,Scene I,Roderigo,What a full fortune does the thicklips owe,67
Act I,Scene I,Roderigo,If he can carry't thus!,68
Act I,Scene I,Iago,"Call up her father,",69
Act I,Scene I,Iago,"Rouse him: make after him, poison his delight,",70
Act I,Scene I,Iago,"Proclaim him in the streets; incense her kinsmen,",71
Act I,Scene I,Iago,"And, though he in a fertile climate dwell,",72
Act I,Scene I,Iago,"Plague him with flies: though that his joy be joy,",73
Act I,Scene I,Iago,"Yet throw such changes of vexation on't,",74
Act I,Scene I,Iago,As it may lose some colour.,75
Act I,Scene I,Roderigo,Here is her father's house; I'll call aloud.,76
Act I,Scene I,Iago,"Do, with like timorous accent and dire yell",77
Act I,Scene I,Iago,"As when, by night and negligence, the fire",78
Act I,Scene I,Iago,Is spied in populous cities.,79
Act I,Scene I,Roderigo,"What, ho, Brabantio! Signior Brabantio, ho!",80
Act I,Scene I,Iago,"Awake! what, ho, Brabantio! thieves! thieves! thieves!",81
Act I,Scene I,Iago,"Look to your house, your daughter and your bags!",82
Act I,Scene I,Iago,Thieves! thieves!,83
Act I,Scene I,[stage direction],"BRABANTIO appears above, at a window",NA
Act I,Scene I,Brabantio,What is the reason of this terrible summons?,84
Act I,Scene I,Brabantio,What is the matter there?,85
Act I,Scene I,Roderigo,"Signior, is all your family within?",86
Act I,Scene I,Iago,Are your doors lock'd?,87
Act I,Scene I,Brabantio,"Why, wherefore ask you this?",88
Act I,Scene I,Iago,"'Zounds, sir, you're robb'd; for shame, put on",89
Act I,Scene I,Iago,your gown;,90
Act I,Scene I,Iago,"Your heart is burst, you have lost half your soul;",91
Act I,Scene I,Iago,"Even now, now, very now, an old black ram",92
Act I,Scene I,Iago,"Is topping your white ewe. Arise, arise;",93
Act I,Scene I,Iago,"Awake the snorting citizens with the bell,",94
Act I,Scene I,Iago,Or else the devil will make a grandsire of you:,95
Act I,Scene I,Iago,"Arise, I say.",96
Act I,Scene I,Brabantio,"What, have you lost your wits?",97
Act I,Scene I,Roderigo,"Most reverend signior, do you know my voice?",98
Act I,Scene I,Brabantio,Not I	what are you?,99
Act I,Scene I,Roderigo,My name is Roderigo.,100
Act I,Scene I,Brabantio,The worser welcome:,101
Act I,Scene I,Brabantio,I have charged thee not to haunt about my doors:,102
Act I,Scene I,Brabantio,In honest plainness thou hast heard me say,103
Act I,Scene I,Brabantio,"My daughter is not for thee; and now, in madness,",104
Act I,Scene I,Brabantio,"Being full of supper and distempering draughts,",105
Act I,Scene I,Brabantio,"Upon malicious bravery, dost thou come",106
Act I,Scene I,Brabantio,To start my quiet.,107
Act I,Scene I,Roderigo,"Sir, sir, sir,--",108
Act I,Scene I,Brabantio,But thou must needs be sure,109
Act I,Scene I,Brabantio,My spirit and my place have in them power,110
Act I,Scene I,Brabantio,To make this bitter to thee.,111
