act,scene,character,dialogue,line_number
Act I,Prologue,[stage direction],Enter GOWER,NA
Act I,Prologue,[stage direction],Before the palace of Antioch,NA
Act I,Prologue,Chorus,"To sing a song that old was sung,",1
Act I,Prologue,Chorus,From ashes ancient Gower is come;,2
Act I,Prologue,Chorus,"Assuming man's infirmities,",3
Act I,Prologue,Chorus,"To glad your ear, and please your eyes.",4
Act I,Prologue,Chorus,"It hath been sung at festivals,",5
Act I,Prologue,Chorus,On ember-eves and holy-ales;,6
Act I,Prologue,Chorus,And lords and ladies in their lives,7
Act I,Prologue,Chorus,Have read it for restoratives:,8
Act I,Prologue,Chorus,The purchase is to make men glorious;,9
Act I,Prologue,Chorus,"Et bonum quo antiquius, eo melius.",10
Act I,Prologue,Chorus,"If you, born in these latter times,",11
Act I,Prologue,Chorus,"When wit's more ripe, accept my rhymes.",12
Act I,Prologue,Chorus,And that to hear an old man sing,13
Act I,Prologue,Chorus,May to your wishes pleasure bring,14
Act I,Prologue,Chorus,"I life would wish, and that I might",15
Act I,Prologue,Chorus,"Waste it for you, like taper-light.",16
Act I,Prologue,Chorus,"This Antioch, then, Antiochus the Great",17
Act I,Prologue,Chorus,"Built up, this city, for his chiefest seat:",18
Act I,Prologue,Chorus,"The fairest in all Syria,",19
Act I,Prologue,Chorus,I tell you what mine authors say:,20
Act I,Prologue,Chorus,"This king unto him took a fere,",21
Act I,Prologue,Chorus,"Who died and left a female heir,",22
Act I,Prologue,Chorus,"So buxom, blithe, and full of face,",23
Act I,Prologue,Chorus,As heaven had lent her all his grace;,24
Act I,Prologue,Chorus,"With whom the father liking took,",25
Act I,Prologue,Chorus,And her to incest did provoke:,26
Act I,Prologue,Chorus,Bad child; worse father! to entice his own,27
Act I,Prologue,Chorus,To evil should be done by none:,28
Act I,Prologue,Chorus,But custom what they did begin,29
Act I,Prologue,Chorus,Was with long use account no sin.,30
Act I,Prologue,Chorus,The beauty of this sinful dame,31
Act I,Prologue,Chorus,"Made many princes thither frame,",32
Act I,Prologue,Chorus,"To seek her as a bed-fellow,",33
Act I,Prologue,Chorus,In marriage-pleasures play-fellow:,34
Act I,Prologue,Chorus,"Which to prevent he made a law,",35
Act I,Prologue,Chorus,"To keep her still, and men in awe,",36
