act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter KING RICHARD II, JOHN OF GAUNT, with other Nobles and Attendants",NA
Act I,Scene I,King Richard Ii,"Old John of Gaunt, time-honour'd Lancaster,",1
Act I,Scene I,King Richard Ii,"Hast thou, according to thy oath and band,",2
Act I,Scene I,King Richard Ii,"Brought hither Henry Hereford thy bold son,",3
Act I,Scene I,King Richard Ii,"Here to make good the boisterous late appeal,",4
Act I,Scene I,King Richard Ii,"Which then our leisure would not let us hear,",5
Act I,Scene I,King Richard Ii,"Against the Duke of Norfolk, Thomas Mowbray?",6
Act I,Scene I,John Of Gaunt,"I have, my liege.",7
Act I,Scene I,King Richard Ii,"Tell me, moreover, hast thou sounded him,",8
Act I,Scene I,King Richard Ii,If he appeal the duke on ancient malice;,9
Act I,Scene I,King Richard Ii,"Or worthily, as a good subject should,",10
Act I,Scene I,King Richard Ii,On some known ground of treachery in him?,11
Act I,Scene I,John Of Gaunt,"As near as I could sift him on that argument,",12
Act I,Scene I,John Of Gaunt,On some apparent danger seen in him,13
Act I,Scene I,John Of Gaunt,"Aim'd at your highness, no inveterate malice.",14
Act I,Scene I,King Richard Ii,"Then call them to our presence; face to face,",15
Act I,Scene I,King Richard Ii,"And frowning brow to brow, ourselves will hear",16
Act I,Scene I,King Richard Ii,The accuser and the accused freely speak:,17
Act I,Scene I,King Richard Ii,"High-stomach'd are they both, and full of ire,",18
Act I,Scene I,King Richard Ii,"In rage deaf as the sea, hasty as fire.",19
Act I,Scene I,[stage direction],Enter HENRY BOLINGBROKE and THOMAS MOWBRAY,NA
Act I,Scene I,Henry Bolingbroke,Many years of happy days befal,20
Act I,Scene I,Henry Bolingbroke,"My gracious sovereign, my most loving liege!",21
Act I,Scene I,Thomas Mowbray,Each day still better other's happiness;,22
Act I,Scene I,Thomas Mowbray,"Until the heavens, envying earth's good hap,",23
Act I,Scene I,Thomas Mowbray,Add an immortal title to your crown!,24
Act I,Scene I,King Richard Ii,"We thank you both: yet one but flatters us,",25
Act I,Scene I,King Richard Ii,As well appeareth by the cause you come;,26
Act I,Scene I,King Richard Ii,Namely to appeal each other of high treason.,27
Act I,Scene I,King Richard Ii,"Cousin of Hereford, what dost thou object",28
Act I,Scene I,King Richard Ii,"Against the Duke of Norfolk, Thomas Mowbray?",29
Act I,Scene I,Henry Bolingbroke,"First, heaven be the record to my speech!",30
Act I,Scene I,Henry Bolingbroke,"In the devotion of a subject's love,",31
Act I,Scene I,Henry Bolingbroke,"Tendering the precious safety of my prince,",32
Act I,Scene I,Henry Bolingbroke,"And free from other misbegotten hate,",33
Act I,Scene I,Henry Bolingbroke,Come I appellant to this princely presence.,34
Act I,Scene I,Henry Bolingbroke,"Now, Thomas Mowbray, do I turn to thee,",35
Act I,Scene I,Henry Bolingbroke,And mark my greeting well; for what I speak,36
Act I,Scene I,Henry Bolingbroke,"My body shall make good upon this earth,",37
Act I,Scene I,Henry Bolingbroke,Or my divine soul answer it in heaven.,38
Act I,Scene I,Henry Bolingbroke,"Thou art a traitor and a miscreant,",39
Act I,Scene I,Henry Bolingbroke,"Too good to be so and too bad to live,",40
Act I,Scene I,Henry Bolingbroke,"Since the more fair and crystal is the sky,",41
Act I,Scene I,Henry Bolingbroke,The uglier seem the clouds that in it fly.,42
