line,line_number
"Where art thou, Muse, that thou forget'st so long",1
To speak of that which gives thee all thy might?,2
"Spend'st thou thy fury on some worthless song,",3
Darkening thy power to lend base subjects light?,4
"Return, forgetful Muse, and straight redeem",5
In gentle numbers time so idly spent;,6
Sing to the ear that doth thy lays esteem,7
And gives thy pen both skill and argument.,8
"Rise, resty Muse, my love's sweet face survey,",9
If Time have any wrinkle graven there;,10
"If any, be a satire to decay,",11
And make Time's spoils despised every where.,12
Give my love fame faster than Time wastes life;,13
So thou prevent'st his scythe and crooked knife.,14
