line,line_number
"My love is strengthen'd, though more weak in seeming;",1
"I love not less, though less the show appear:",2
That love is merchandized whose rich esteeming,3
The owner's tongue doth publish every where.,4
Our love was new and then but in the spring,5
"When I was wont to greet it with my lays,",6
As Philomel in summer's front doth sing,7
And stops her pipe in growth of riper days:,8
Not that the summer is less pleasant now,9
"Than when her mournful hymns did hush the night,",10
But that wild music burthens every bough,11
And sweets grown common lose their dear delight.,12
"Therefore like her I sometime hold my tongue,",13
Because I would not dull you with my song.,14
