line,line_number
"O, never say that I was false of heart,",1
Though absence seem'd my flame to qualify.,2
As easy might I from myself depart,3
"As from my soul, which in thy breast doth lie:",4
"That is my home of love: if I have ranged,",5
"Like him that travels I return again,",6
"Just to the time, not with the time exchanged,",7
So that myself bring water for my stain.,8
"Never believe, though in my nature reign'd",9
"All frailties that besiege all kinds of blood,",10
"That it could so preposterously be stain'd,",11
To leave for nothing all thy sum of good;,12
"For nothing this wide universe I call,",13
"Save thou, my rose; in it thou art my all.",14
