line,line_number
"O, from what power hast thou this powerful might",1
With insufficiency my heart to sway?,2
"To make me give the lie to my true sight,",3
And swear that brightness doth not grace the day?,4
"Whence hast thou this becoming of things ill,",5
That in the very refuse of thy deeds,6
There is such strength and warrantize of skill,7
"That, in my mind, thy worst all best exceeds?",8
Who taught thee how to make me love thee more,9
The more I hear and see just cause of hate?,10
"O, though I love what others do abhor,",11
With others thou shouldst not abhor my state:,12
"If thy unworthiness raised love in me,",13
More worthy I to be beloved of thee.,14
