line,line_number
Love is too young to know what conscience is;,1
Yet who knows not conscience is born of love?,2
"Then, gentle cheater, urge not my amiss,",3
Lest guilty of my faults thy sweet self prove:,4
"For, thou betraying me, I do betray",5
My nobler part to my gross body's treason;,6
My soul doth tell my body that he may,7
Triumph in love; flesh stays no father reason;,8
"But, rising at thy name, doth point out thee",9
"As his triumphant prize. Proud of this pride,",10
"He is contented thy poor drudge to be,",11
"To stand in thy affairs, fall by thy side.",12
No want of conscience hold it that I call,13
Her 'love' for whose dear love I rise and fall.,14
