line,line_number
"In loving thee thou know'st I am forsworn,",1
"But thou art twice forsworn, to me love swearing,",2
"In act thy bed-vow broke and new faith torn,",3
In vowing new hate after new love bearing.,4
"But why of two oaths' breach do I accuse thee,",5
When I break twenty? I am perjured most;,6
For all my vows are oaths but to misuse thee,7
"And all my honest faith in thee is lost,",8
"For I have sworn deep oaths of thy deep kindness,",9
"Oaths of thy love, thy truth, thy constancy,",10
"And, to enlighten thee, gave eyes to blindness,",11
Or made them swear against the thing they see;,12
"For I have sworn thee fair; more perjured I,",13
To swear against the truth so foul a lie!,14
