line,line_number
"Cupid laid by his brand, and fell asleep:",1
"A maid of Dian's this advantage found,",2
And his love-kindling fire did quickly steep,3
In a cold valley-fountain of that ground;,4
Which borrow'd from this holy fire of Love,5
"A dateless lively heat, still to endure,",6
"And grew a seething bath, which yet men prove",7
Against strange maladies a sovereign cure.,8
"But at my mistress' eye Love's brand new-fired,",9
The boy for trial needs would touch my breast;,10
"I, sick withal, the help of bath desired,",11
"And thither hied, a sad distemper'd guest,",12
But found no cure: the bath for my help lies,13
Where Cupid got new fire--my mistress' eyes.,14
