line,line_number
The little Love-god lying once asleep,1
"Laid by his side his heart-inflaming brand,",2
Whilst many nymphs that vow'd chaste life to keep,3
Came tripping by; but in her maiden hand,4
The fairest votary took up that fire,5
Which many legions of true hearts had warm'd;,6
And so the general of hot desire,7
Was sleeping by a virgin hand disarm'd.,8
"This brand she quenched in a cool well by,",9
"Which from Love's fire took heat perpetual,",10
Growing a bath and healthful remedy,11
"For men diseased; but I, my mistress' thrall,",12
"Came there for cure, and this by that I prove,",13
"Love's fire heats water, water cools not love.",14
