line,line_number
"Let not my love be call'd idolatry,",1
"Nor my beloved as an idol show,",2
Since all alike my songs and praises be,3
"To one, of one, still such, and ever so.",4
"Kind is my love to-day, to-morrow kind,",5
Still constant in a wondrous excellence;,6
"Therefore my verse to constancy confined,",7
"One thing expressing, leaves out difference.",8
"'Fair, kind and true' is all my argument,",9
"'Fair, kind, and true' varying to other words;",10
"And in this change is my invention spent,",11
"Three themes in one, which wondrous scope affords.",12
"'Fair, kind, and true,' have often lived alone,",13
Which three till now never kept seat in one.,14
