line,line_number
When in the chronicle of wasted time,1
"I see descriptions of the fairest wights,",2
And beauty making beautiful old rhyme,3
"In praise of ladies dead and lovely knights,",4
"Then, in the blazon of sweet beauty's best,",5
"Of hand, of foot, of lip, of eye, of brow,",6
I see their antique pen would have express'd,7
Even such a beauty as you master now.,8
So all their praises are but prophecies,9
"Of this our time, all you prefiguring;",10
"And, for they look'd but with divining eyes,",11
They had not skill enough your worth to sing:,12
"For we, which now behold these present days,",13
"Had eyes to wonder, but lack tongues to praise.",14
