line,line_number
"Not mine own fears, nor the prophetic soul",1
"Of the wide world dreaming on things to come,",2
"Can yet the lease of my true love control,",3
Supposed as forfeit to a confined doom.,4
The mortal moon hath her eclipse endured,5
And the sad augurs mock their own presage;,6
Incertainties now crown themselves assured,7
And peace proclaims olives of endless age.,8
Now with the drops of this most balmy time,9
"My love looks fresh, and death to me subscribes,",10
"Since, spite of him, I'll live in this poor rhyme,",11
While he insults o'er dull and speechless tribes:,12
"And thou in this shalt find thy monument,",13
When tyrants' crests and tombs of brass are spent.,14
