line,line_number
"Alas, 'tis true I have gone here and there",1
"And made myself a motley to the view,",2
"Gored mine own thoughts, sold cheap what is most dear,",3
Made old offences of affections new;,4
Most true it is that I have look'd on truth,5
"Askance and strangely: but, by all above,",6
"These blenches gave my heart another youth,",7
And worse essays proved thee my best of love.,8
"Now all is done, have what shall have no end:",9
Mine appetite I never more will grind,10
"On newer proof, to try an older friend,",11
"A god in love, to whom I am confined.",12
"Then give me welcome, next my heaven the best,",13
Even to thy pure and most most loving breast.,14
