line,line_number
"Since I left you, mine eye is in my mind;",1
And that which governs me to go about,2
"Doth part his function and is partly blind,",3
"Seems seeing, but effectually is out;",4
For it no form delivers to the heart,5
"Of bird of flower, or shape, which it doth latch:",6
"Of his quick objects hath the mind no part,",7
Nor his own vision holds what it doth catch:,8
"For if it see the rudest or gentlest sight,",9
"The most sweet favour or deformed'st creature,",10
"The mountain or the sea, the day or night,",11
"The crow or dove, it shapes them to your feature:",12
"Incapable of more, replete with you,",13
My most true mind thus makes mine eye untrue.,14
