line,line_number
Be wise as thou art cruel; do not press,1
My tongue-tied patience with too much disdain;,2
Lest sorrow lend me words and words express,3
The manner of my pity-wanting pain.,4
"If I might teach thee wit, better it were,",5
"Though not to love, yet, love, to tell me so;",6
"As testy sick men, when their deaths be near,",7
No news but health from their physicians know;,8
"For if I should despair, I should grow mad,",9
And in my madness might speak ill of thee:,10
"Now this ill-wresting world is grown so bad,",11
"Mad slanderers by mad ears believed be,",12
"That I may not be so, nor thou belied,",13
"Bear thine eyes straight, though thy proud heart go wide.",14
