line,line_number
"In faith, I do not love thee with mine eyes,",1
For they in thee a thousand errors note;,2
"But 'tis my heart that loves what they despise,",3
Who in despite of view is pleased to dote;,4
"Nor are mine ears with thy tongue's tune delighted,",5
"Nor tender feeling, to base touches prone,",6
"Nor taste, nor smell, desire to be invited",7
To any sensual feast with thee alone:,8
But my five wits nor my five senses can,9
"Dissuade one foolish heart from serving thee,",10
"Who leaves unsway'd the likeness of a man,",11
Thy proud hearts slave and vassal wretch to be:,12
"Only my plague thus far I count my gain,",13
That she that makes me sin awards me pain.,14
