line,line_number
"Canst thou, O cruel! say I love thee not,",1
When I against myself with thee partake?,2
"Do I not think on thee, when I forgot",3
"Am of myself, all tyrant, for thy sake?",4
Who hateth thee that I do call my friend?,5
On whom frown'st thou that I do fawn upon?,6
"Nay, if thou lour'st on me, do I not spend",7
Revenge upon myself with present moan?,8
"What merit do I in myself respect,",9
"That is so proud thy service to despise,",10
"When all my best doth worship thy defect,",11
Commanded by the motion of thine eyes?,12
"But, love, hate on, for now I know thy mind;",13
"Those that can see thou lovest, and I am blind.",14
