line,line_number
Those lips that Love's own hand did make,1
Breathed forth the sound that said 'I hate',2
To me that languish'd for her sake;,3
"But when she saw my woeful state,",4
"Straight in her heart did mercy come,",5
Chiding that tongue that ever sweet,6
"Was used in giving gentle doom,",7
And taught it thus anew to greet:,8
"'I hate' she alter'd with an end,",9
That follow'd it as gentle day,10
"Doth follow night, who like a fiend",11
From heaven to hell is flown away;,12
"'I hate' from hate away she threw,",13
"And saved my life, saying 'not you.'",14
