line,line_number
"Those lines that I before have writ do lie,",1
Even those that said I could not love you dearer:,2
Yet then my judgment knew no reason why,3
My most full flame should afterwards burn clearer.,4
"But reckoning time, whose million'd accidents",5
"Creep in 'twixt vows and change decrees of kings,",6
"Tan sacred beauty, blunt the sharp'st intents,",7
Divert strong minds to the course of altering things;,8
"Alas, why, fearing of time's tyranny,",9
"Might I not then say 'Now I love you best,'",10
"When I was certain o'er incertainty,",11
"Crowning the present, doubting of the rest?",12
"Love is a babe; then might I not say so,",13
To give full growth to that which still doth grow?,14
