line,line_number
Let me not to the marriage of true minds,1
Admit impediments. Love is not love,2
"Which alters when it alteration finds,",3
Or bends with the remover to remove:,4
O no! it is an ever-fixed mark,5
That looks on tempests and is never shaken;,6
"It is the star to every wandering bark,",7
"Whose worth's unknown, although his height be taken.",8
"Love's not Time's fool, though rosy lips and cheeks",9
Within his bending sickle's compass come:,10
"Love alters not with his brief hours and weeks,",11
But bears it out even to the edge of doom.,12
"If this be error and upon me proved,",13
"I never writ, nor no man ever loved.",14
