line,line_number
Accuse me thus: that I have scanted all,1
"Wherein I should your great deserts repay,",2
"Forgot upon your dearest love to call,",3
Whereto all bonds do tie me day by day;,4
That I have frequent been with unknown minds,5
And given to time your own dear-purchased right,6
That I have hoisted sail to all the winds,7
Which should transport me farthest from your sight.,8
Book both my wilfulness and errors down,9
And on just proof surmise accumulate;,10
"Bring me within the level of your frown,",11
But shoot not at me in your waken'd hate;,12
Since my appeal says I did strive to prove,13
The constancy and virtue of your love.,14
