line,line_number
"That you were once unkind befriends me now,",1
And for that sorrow which I then did feel,2
"Needs must I under my transgression bow,",3
Unless my nerves were brass or hammer'd steel.,4
For if you were by my unkindness shaken,5
"As I by yours, you've pass'd a hell of time,",6
"And I, a tyrant, have no leisure taken",7
To weigh how once I suffered in your crime.,8
"O, that our night of woe might have remember'd",9
"My deepest sense, how hard true sorrow hits,",10
"And soon to you, as you to me, then tender'd",11
The humble slave which wounded bosoms fits!,12
But that your trespass now becomes a fee;,13
"Mine ransoms yours, and yours must ransom me.",14
