line,line_number
"Thy gift, thy tables, are within my brain",1
"Full character'd with lasting memory,",2
Which shall above that idle rank remain,3
"Beyond all date, even to eternity;",4
"Or at the least, so long as brain and heart",5
Have faculty by nature to subsist;,6
Till each to razed oblivion yield his part,7
"Of thee, thy record never can be miss'd.",8
"That poor retention could not so much hold,",9
Nor need I tallies thy dear love to score;,10
"Therefore to give them from me was I bold,",11
To trust those tables that receive thee more:,12
To keep an adjunct to remember thee,13
Were to import forgetfulness in me.,14
