line,line_number
The expense of spirit in a waste of shame,1
"Is lust in action; and till action, lust",2
"Is perjured, murderous, bloody, full of blame,",3
"Savage, extreme, rude, cruel, not to trust,",4
"Enjoy'd no sooner but despised straight,",5
"Past reason hunted, and no sooner had",6
"Past reason hated, as a swallow'd bait",7
On purpose laid to make the taker mad;,8
Mad in pursuit and in possession so;,9
"Had, having, and in quest to have, extreme;",10
"A bliss in proof, and proved, a very woe;",11
"Before, a joy proposed; behind, a dream.",12
All this the world well knows; yet none knows well,13
To shun the heaven that leads men to this hell.,14
