line,line_number
"O thou, my lovely boy, who in thy power",1
"Dost hold Time's fickle glass, his sickle, hour;",2
"Who hast by waning grown, and therein show'st",3
Thy lovers withering as thy sweet self grow'st;,4
"If Nature, sovereign mistress over wrack,",5
"As thou goest onwards, still will pluck thee back,",6
"She keeps thee to this purpose, that her skill",7
May time disgrace and wretched minutes kill.,8
"Yet fear her, O thou minion of her pleasure!",9
"She may detain, but not still keep, her treasure:",10
"Her audit, though delay'd, answer'd must be,",11
And her quietus is to render thee.,12
