line,line_number
"Thou art as tyrannous, so as thou art,",1
As those whose beauties proudly make them cruel;,2
For well thou know'st to my dear doting heart,3
Thou art the fairest and most precious jewel.,4
"Yet, in good faith, some say that thee behold",5
Thy face hath not the power to make love groan:,6
"To say they err I dare not be so bold,",7
Although I swear it to myself alone.,8
"And, to be sure that is not false I swear,",9
"A thousand groans, but thinking on thy face,",10
"One on another's neck, do witness bear",11
Thy black is fairest in my judgment's place.,12
"In nothing art thou black save in thy deeds,",13
"And thence this slander, as I think, proceeds.",14
