line,line_number
"Thine eyes I love, and they, as pitying me,",1
"Knowing thy heart torments me with disdain,",2
"Have put on black and loving mourners be,",3
Looking with pretty ruth upon my pain.,4
And truly not the morning sun of heaven,5
"Better becomes the grey cheeks of the east,",6
Nor that full star that ushers in the even,7
"Doth half that glory to the sober west,",8
As those two mourning eyes become thy face:,9
"O, let it then as well beseem thy heart",10
"To mourn for me, since mourning doth thee grace,",11
And suit thy pity like in every part.,12
Then will I swear beauty herself is black,13
And all they foul that thy complexion lack.,14
