line,line_number
"So, now I have confess'd that he is thine,",1
"And I myself am mortgaged to thy will,",2
"Myself I'll forfeit, so that other mine",3
"Thou wilt restore, to be my comfort still:",4
"But thou wilt not, nor he will not be free,",5
For thou art covetous and he is kind;,6
He learn'd but surety-like to write for me,7
Under that bond that him as fast doth bind.,8
"The statute of thy beauty thou wilt take,",9
"Thou usurer, that put'st forth all to use,",10
And sue a friend came debtor for my sake;,11
So him I lose through my unkind abuse.,12
Him have I lost; thou hast both him and me:,13
"He pays the whole, and yet am I not free.",14
