line,line_number
"Whoever hath her wish, thou hast thy 'Will,'",1
"And 'Will' to boot, and 'Will' in overplus;",2
"More than enough am I that vex thee still,",3
To thy sweet will making addition thus.,4
"Wilt thou, whose will is large and spacious,",5
Not once vouchsafe to hide my will in thine?,6
"Shall will in others seem right gracious,",7
And in my will no fair acceptance shine?,8
"The sea all water, yet receives rain still",9
And in abundance addeth to his store;,10
"So thou, being rich in 'Will,' add to thy 'Will'",11
"One will of mine, to make thy large 'Will' more.",12
"Let no unkind, no fair beseechers kill;",13
"Think all but one, and me in that one 'Will.'",14
