line,line_number
"Look in thy glass, and tell the face thou viewest",1
Now is the time that face should form another;,2
"Whose fresh repair if now thou not renewest,",3
"Thou dost beguile the world, unbless some mother.",4
For where is she so fair whose unear'd womb,5
Disdains the tillage of thy husbandry?,6
Or who is he so fond will be the tomb,7
"Of his self-love, to stop posterity?",8
"Thou art thy mother's glass, and she in thee",9
Calls back the lovely April of her prime:,10
So thou through windows of thine age shall see,11
Despite of wrinkles this thy golden time.,12
"But if thou live, remember'd not to be,",13
"Die single, and thine image dies with thee.",14
