line,line_number
"Unthrifty loveliness, why dost thou spend",1
Upon thyself thy beauty's legacy?,2
"Nature's bequest gives nothing but doth lend,",3
And being frank she lends to those are free.,4
"Then, beauteous niggard, why dost thou abuse",5
The bounteous largess given thee to give?,6
"Profitless usurer, why dost thou use",7
"So great a sum of sums, yet canst not live?",8
"For having traffic with thyself alone,",9
Thou of thyself thy sweet self dost deceive.,10
"Then how, when nature calls thee to be gone,",11
What acceptable audit canst thou leave?,12
"Thy unused beauty must be tomb'd with thee,",13
"Which, used, lives th' executor to be.",14
