line,line_number
Is it for fear to wet a widow's eye,1
That thou consumest thyself in single life?,2
Ah! if thou issueless shalt hap to die.,3
"The world will wail thee, like a makeless wife;",4
The world will be thy widow and still weep,5
"That thou no form of thee hast left behind,",6
When every private widow well may keep,7
By children's eyes her husband's shape in mind.,8
"Look, what an unthrift in the world doth spend",9
"Shifts but his place, for still the world enjoys it;",10
"But beauty's waste hath in the world an end,",11
"And kept unused, the user so destroys it.",12
No love toward others in that bosom sits,13
That on himself such murderous shame commits.,14
