line,line_number
"So am I as the rich, whose blessed key",1
"Can bring him to his sweet up-locked treasure,",2
"The which he will not every hour survey,",3
For blunting the fine point of seldom pleasure.,4
"Therefore are feasts so solemn and so rare,",5
"Since, seldom coming, in the long year set,",6
"Like stones of worth they thinly placed are,",7
Or captain jewels in the carcanet.,8
"So is the time that keeps you as my chest,",9
"Or as the wardrobe which the robe doth hide,",10
"To make some special instant special blest,",11
By new unfolding his imprison'd pride.,12
"Blessed are you, whose worthiness gives scope,",13
"Being had, to triumph, being lack'd, to hope.",14
