line,line_number
"What is your substance, whereof are you made,",1
That millions of strange shadows on you tend?,2
"Since every one hath, every one, one shade,",3
"And you, but one, can every shadow lend.",4
"Describe Adonis, and the counterfeit",5
Is poorly imitated after you;,6
"On Helen's cheek all art of beauty set,",7
And you in Grecian tires are painted new:,8
Speak of the spring and foison of the year;,9
"The one doth shadow of your beauty show,",10
The other as your bounty doth appear;,11
And you in every blessed shape we know.,12
"In all external grace you have some part,",13
"But you like none, none you, for constant heart.",14
