line,line_number
"Not marble, nor the gilded monuments",1
"Of princes, shall outlive this powerful rhyme;",2
But you shall shine more bright in these contents,3
Than unswept stone besmear'd with sluttish time.,4
"When wasteful war shall statues overturn,",5
"And broils root out the work of masonry,",6
Nor Mars his sword nor war's quick fire shall burn,7
The living record of your memory.,8
'Gainst death and all-oblivious enmity,9
Shall you pace forth; your praise shall still find room,10
Even in the eyes of all posterity,11
That wear this world out to the ending doom.,12
"So, till the judgment that yourself arise,",13
"You live in this, and dwell in lover's eyes.",14
