line,line_number
"Sweet love, renew thy force; be it not said",1
"Thy edge should blunter be than appetite,",2
"Which but to-day by feeding is allay'd,",3
To-morrow sharpen'd in his former might:,4
"So, love, be thou; although to-day thou fill",5
"Thy hungry eyes even till they wink with fullness,",6
"To-morrow see again, and do not kill",7
The spirit of love with a perpetual dullness.,8
Let this sad interim like the ocean be,9
"Which parts the shore, where two contracted new",10
"Come daily to the banks, that, when they see",11
"Return of love, more blest may be the view;",12
"Else call it winter, which being full of care",13
"Makes summer's welcome thrice more wish'd, more rare.",14
