line,line_number
"Being your slave, what should I do but tend",1
Upon the hours and times of your desire?,2
"I have no precious time at all to spend,",3
"Nor services to do, till you require.",4
Nor dare I chide the world-without-end hour,5
"Whilst I, my sovereign, watch the clock for you,",6
Nor think the bitterness of absence sour,7
When you have bid your servant once adieu;,8
Nor dare I question with my jealous thought,9
"Where you may be, or your affairs suppose,",10
"But, like a sad slave, stay and think of nought",11
"Save, where you are how happy you make those.",12
"So true a fool is love that in your will,",13
"Though you do any thing, he thinks no ill.",14
