line,line_number
Is it thy will thy image should keep open,1
My heavy eyelids to the weary night?,2
"Dost thou desire my slumbers should be broken,",3
While shadows like to thee do mock my sight?,4
Is it thy spirit that thou send'st from thee,5
"So far from home into my deeds to pry,",6
"To find out shames and idle hours in me,",7
The scope and tenor of thy jealousy?,8
"O, no! thy love, though much, is not so great:",9
It is my love that keeps mine eye awake;,10
"Mine own true love that doth my rest defeat,",11
To play the watchman ever for thy sake:,12
"For thee watch I whilst thou dost wake elsewhere,",13
"From me far off, with others all too near.",14
