line,line_number
Sin of self-love possesseth all mine eye,1
And all my soul and all my every part;,2
"And for this sin there is no remedy,",3
It is so grounded inward in my heart.,4
"Methinks no face so gracious is as mine,",5
"No shape so true, no truth of such account;",6
"And for myself mine own worth do define,",7
As I all other in all worths surmount.,8
"But when my glass shows me myself indeed,",9
"Beated and chopp'd with tann'd antiquity,",10
Mine own self-love quite contrary I read;,11
Self so self-loving were iniquity.,12
"'Tis thee, myself, that for myself I praise,",13
Painting my age with beauty of thy days.,14
