line,line_number
"Against my love shall be, as I am now,",1
With Time's injurious hand crush'd and o'er-worn;,2
When hours have drain'd his blood and fill'd his brow,3
With lines and wrinkles; when his youthful morn,4
"Hath travell'd on to age's steepy night,",5
And all those beauties whereof now he's king,6
"Are vanishing or vanish'd out of sight,",7
Stealing away the treasure of his spring;,8
For such a time do I now fortify,9
"Against confounding age's cruel knife,",10
That he shall never cut from memory,11
"My sweet love's beauty, though my lover's life:",12
"His beauty shall in these black lines be seen,",13
"And they shall live, and he in them still green.",14
